Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Critic_Score,User_Score,Publisher_Profile,Cluster
13513,Battle Arena Toshinden Remix,SAT,1995,Fighting,Sega,0.0,0.0,0.12,0.0,0.0,0.0,High Profile,15
13514,Dragon Ball: Origins,DS,2008,Adventure,Atari,0.08,0.03,0.0,0.01,0.0,0.0,Medium Profile,11
13516,A.C.E.: Another Century's Episode Portable,PSP,2011,Simulation,Namco Bandai,0.0,0.0,0.12,0.0,0.0,0.0,Medium Profile,8
13520,The Price is Right: Decades,"Wii, X360",2011,Misc,Ubisoft,0.22,0.0,0.0,0.02,0.0,0.0,High Profile,9
13521,Raiden IV,X360,2009,Shooter,UFO Interactive,0.1,0.0,0.01,0.01,7.0,0.0,Low Profile,28
13525,Cruis'n,Wii,2007,Racing,Midway Games,0.1,0.01,0.0,0.01,0.0,0.0,Medium Profile,7
13526,Fate/hollow ataraxia,PSV,2014,Visual Novel,Type-Moon,0.0,0.0,0.12,0.0,0.0,0.0,Low Profile,40
13528,Petz Fantasy: Moonlight Magic,DS,2010,Simulation,Ubisoft,0.11,0.0,0.0,0.01,0.0,0.0,High Profile,20
13530,Battles of Prince of Persia,DS,2005,Strategy,Ubisoft,0.1,0.01,0.0,0.01,5.6,0.0,High Profile,35
13532,Crime Killer,PS,1998,Racing,Interplay,0.07,0.04,0.0,0.01,0.0,0.0,Low Profile,27
13533,America's Greatest Game Shows: Wheel of Fortune & Jeopardy!,"PS4, XOne",2017,Misc,Ubisoft,0.18,0.0,0.0,0.03,0.0,0.0,High Profile,9
13534,BlazBlue: Continuum Shift EXTEND,"PSV, PS3, PSP",2012,Fighting,Aksys Games,0.03,0.05,0.12,0.02,0.0,0.0,Medium Profile,16
13535,FIFA Football,PSV,2011,Sports,EA Sports,0.02,0.09,0.0,0.02,0.0,0.0,High Profile,4
13537,Sudden Strike 4,"PC, PS4, XOne",2017,Strategy,Kalypso Media,0.08,0.04,0.01,0.02,0.0,0.0,Low Profile,34
13540,Peggle: Dual Shot,DS,2009,Puzzle,PopCap Games,0.11,0.0,0.0,0.01,0.0,0.0,Low Profile,30
13541,USA Today Crossword Challenge,DS,2008,Puzzle,Destineer,0.11,0.0,0.0,0.01,0.0,0.0,Medium Profile,13
13542,Marvel's Guardians of the Galaxy: The Telltale Series,"PS4, XOne",2017,Adventure,Warner Bros. Interactive Entertainment,0.11,0.04,0.0,0.03,0.0,0.0,Medium Profile,11
13544,Bishoujo Senshi Sailormoon S: Juugai Rantou!? Shuyaku Soudatsusen,SNES,1994,Fighting,Angel Studios,0.0,0.0,0.12,0.0,0.0,0.0,Low Profile,32
13545,SD Gundam G Generation-F.I.F,PS,2001,Strategy,Bandai,0.0,0.0,0.11,0.01,0.0,0.0,Medium Profile,14
13546,After Hours Athletes,PS3,2011,Sports,Sony Computer Entertainment,0.0,0.1,0.0,0.02,0.0,0.0,High Profile,4
13549,Ultimate Puzzle Games: Sudoku Edition,DS,2007,Puzzle,Telegames,0.11,0.0,0.0,0.01,0.0,0.0,Low Profile,30
13550,The Clique: Diss and Make Up,DS,2009,Adventure,Warner Bros. Interactive,0.11,0.0,0.0,0.01,0.0,0.0,Medium Profile,11
13554,Harukanaru Augusta 2: Masters,SNES,1993,Sports,T&E Soft,0.0,0.0,0.12,0.0,0.0,0.0,Low Profile,24
13559,Charm Girls Club: My Perfect Prom,DS,2009,Simulation,Electronic Arts,0.11,0.0,0.0,0.01,0.0,0.0,High Profile,20
13560,Marvel Trading Card Game,DS,2007,Misc,Konami,0.11,0.0,0.0,0.01,0.0,0.0,High Profile,9
13561,Mobil 1 Rally Championship,PS,2000,Racing,Electronic Arts,0.07,0.04,0.0,0.01,0.0,0.0,High Profile,18
13562,Onechanbara: Bikini Zombie Slayers,Wii,2009,Action,D3 Publisher,0.11,0.0,0.0,0.01,0.0,0.0,Medium Profile,10
13563,Lost in Shadow,Wii,2011,Platform,Hudson Soft,0.09,0.0,0.01,0.01,6.7,0.0,Medium Profile,21
13565,King of Colosseum (Red): Shin Nippon x Zen Nippon x Pancrase Disc,PS2,2002,Fighting,Spike,0.0,0.0,0.12,0.0,0.0,0.0,Low Profile,32
13571,Rugrats: Totally Angelica,PS,2001,Adventure,THQ,0.06,0.04,0.0,0.01,0.0,0.0,High Profile,26
13572,Nightshade,PS2,2004,Action,Sega,0.06,0.04,0.0,0.01,0.0,0.0,High Profile,1
13580,Hanagumi Taisen Columns,SAT,1997,Puzzle,Sega,0.0,0.0,0.12,0.0,0.0,0.0,High Profile,36
13582,Power Pro Kun Pocket 14,DS,2011,Sports,Konami,0.0,0.0,0.12,0.0,0.0,0.0,High Profile,4
13583,Self-Defense Training Camp,X360,2011,Sports,Ubisoft,0.08,0.03,0.0,0.01,0.0,0.0,High Profile,4
13584,NFL Tour,"PS3, X360",2008,Sports,EA Sports BIG,0.19,0.01,0.0,0.02,0.0,0.0,Low Profile,24
13586,UN Squadron,SNES,1991,Shooter,Capcom,0.0,0.0,0.12,0.0,0.0,0.0,Medium Profile,2
13589,Tecmo Super Bowl,PS,1996,Sports,Tecmo,0.06,0.04,0.0,0.01,0.0,0.0,Medium Profile,17
13590,MIND?0,PSV,2014,Role-Playing,Aksys Games,0.05,0.0,0.04,0.02,0.0,0.0,Medium Profile,5
13593,My Chinese Coach,DS,2008,Misc,Ubisoft,0.1,0.01,0.0,0.01,0.0,0.0,High Profile,9
13594,Lunar 2: Eternal Blue,SAT,1998,Role-Playing,Kadokawa Shoten,0.0,0.0,0.12,0.0,0.0,0.0,Low Profile,25
13595,NHL Powerplay '96,PS,1996,Sports,Virgin Interactive,0.06,0.04,0.0,0.01,0.0,0.0,Low Profile,24
13596,Thousand Arms,PS,1999,Role-Playing,Atlus,0.06,0.04,0.0,0.01,0.0,8.0,Medium Profile,5
13600,Barnyard,"GC, PS2, GBA, Wii",2006,Action,THQ,0.21,0.07,0.0,0.01,5.6,0.0,High Profile,1
13601,Stolen Song,PS,1998,Adventure,Sony Computer Entertainment,0.0,0.0,0.11,0.01,0.0,0.0,High Profile,26
13602,Armored Core: Verdict Day,PS3,2013,Shooter,Bandai Namco Games,0.0,0.0,0.12,0.0,0.0,0.0,Low Profile,28
13603,Nintendo Pocket Football Club,3DS,2012,Sports,Nintendo,0.0,0.0,0.12,0.0,7.0,0.0,High Profile,4
13607,Yattaman DS: BikkuriDokkiri Daisakusen da Koron,DS,2008,Action,Takara Tomy,0.0,0.0,0.12,0.0,0.0,0.0,Low Profile,22
13608,Harvey Birdman: Attorney at Law,"PS2, PSP, Wii",2008,Adventure,Capcom,0.22999999999999998,0.04,0.0,0.04,0.0,0.0,Medium Profile,11
13609,DEATH NOTE: Kira Game,DS,2007,Adventure,Konami,0.0,0.0,0.12,0.0,0.0,0.0,High Profile,26
13610,Sengoku Cyber: Fujimaru Jigokuhen,PS,1995,Strategy,Sony Computer Entertainment,0.0,0.0,0.11,0.01,0.0,0.0,High Profile,35
13611,ASH: Archaic Sealed Heat,DS,2007,Role-Playing,Nintendo,0.0,0.0,0.12,0.0,0.0,0.0,High Profile,3
13612,Funky Barn,3DS,2012,Simulation,Ubisoft,0.07,0.04,0.0,0.01,0.0,0.0,High Profile,20
13613,Hisshou Pachinko*Pachi-Slot Kouryaku Series Vol.10: CR Shinseiki Evangelion: Kiseki no Kachi,PS2,2007,Misc,D3 Publisher,0.0,0.0,0.12,0.0,0.0,0.0,Medium Profile,19
13614,Dorabase 2: Nettou Ultra Stadium,DS,2009,Sports,Namco Bandai,0.0,0.0,0.12,0.0,0.0,0.0,Medium Profile,17
13615,Blood Drive,"X360, PS3",2010,Racing,Activision,0.16,0.01,0.0,0.02,0.0,0.0,High Profile,18
13616,Center Ring Boxing,SAT,1995,Fighting,JVC,0.0,0.0,0.12,0.0,0.0,0.0,Low Profile,32
13620,Die Hard: Vendetta,GC,2002,Shooter,Sierra Entertainment,0.09,0.02,0.0,0.0,0.0,0.0,Medium Profile,2
13622,F1 2002,"PS2, GC, GBA",2002,Racing,EA Sports,0.08,0.06,0.02,0.01,6.5,0.0,High Profile,18
13625,Vacation Isle: Beach Party,Wii,2010,Misc,Warner Bros. Interactive,0.08,0.02,0.0,0.01,0.0,0.0,Medium Profile,19
13626,Party Planet,NS,2017,Misc,Mastiff,0.1,0.0,0.0,0.01,0.0,0.0,Low Profile,0
13629,GT Advance 2: Rally Racing,GBA,2002,Racing,THQ,0.08,0.03,0.0,0.0,7.6,0.0,High Profile,18
13631,Yakuza 1&2 HD EDITION,PS3,2012,Adventure,Sega,0.0,0.0,0.11,0.0,0.0,0.0,High Profile,26
13632,DOA 2: Dead or Alive 2 Hardcore,PS2,2000,Fighting,Tecmo,0.0,0.0,0.11,0.0,0.0,0.0,Medium Profile,16
13636,Merv Griffin's Crosswords,"Wii, DS",2008,Puzzle,THQ,0.14,0.0,0.0,0.01,0.0,0.0,High Profile,36
13639,Darkspore,PC,2011,Role-Playing,Electronic Arts,0.07,0.03,0.0,0.01,6.6,0.0,High Profile,3
13643,F1 Racing Championship,PS,2000,Racing,Video System,0.06,0.04,0.0,0.01,0.0,0.0,Low Profile,27
13644,Tecmo Bowl: Kickoff,DS,2008,Sports,Tecmo,0.11,0.0,0.0,0.01,0.0,0.0,Medium Profile,17
13645,Dead Man's Hand,XB,2004,Shooter,Atari,0.09,0.02,0.0,0.0,0.0,0.0,Medium Profile,2
13646,Smash Cars,PS2,2003,Racing,Metro 3D,0.06,0.04,0.0,0.01,0.0,0.0,Low Profile,27
13652,NASCAR 07,"PS2, XB",2006,Racing,EA Sports,0.09,0.05,0.0,0.01,0.0,0.0,High Profile,18
13653,Zubo,DS,2009,Misc,Electronic Arts,0.08,0.02,0.0,0.01,7.5,0.0,High Profile,9
13655,Animal Genius,DS,2007,Puzzle,Scholastic Inc.,0.1,0.0,0.0,0.01,0.0,0.0,Low Profile,30
13657,Jikkyou Powerful Pro Yakyuu 12 Ketteiban,"PS2, GC",2005,Sports,Konami,0.0,0.0,0.13,0.0,0.0,0.0,High Profile,4
13659,Melty Blood: Act Cadenza,PS2,2006,Fighting,Sega,0.0,0.0,0.11,0.0,0.0,0.0,High Profile,15
13661,A Witch's Tale,DS,2009,Role-Playing,NIS America,0.08,0.0,0.03,0.01,5.0,0.0,Medium Profile,5
13663,The Alliance Alive,3DS,2018,Role-Playing,Atlus,0.04,0.0,0.06,0.01,7.3,0.0,Medium Profile,5
13666,ToeJam & Earl III: Mission to Earth,XB,2002,Action,Sega,0.09,0.02,0.0,0.0,0.0,0.0,High Profile,1
13667,Phantasy Star Collection,GBA,2002,Role-Playing,THQ,0.08,0.03,0.0,0.0,7.9,0.0,High Profile,3
13668,Doukoku Shoshite...,SAT,1998,Adventure,Data East,0.0,0.0,0.11,0.0,0.0,0.0,Low Profile,6
13669,LEGO Knights' Kingdom,GBA,2004,Action,THQ,0.08,0.03,0.0,0.0,0.0,0.0,High Profile,1
13670,Dead Cells,"NS, PS4",2018,Action,Merge Games,0.12,0.02,0.0,0.02,9.3,0.0,Low Profile,22
13672,Retro Game Challenge,DS,2009,Action,Xseed Games,0.0,0.0,0.11,0.0,8.1,0.0,Medium Profile,10
13673,Mechanic Master,DS,2008,Puzzle,Midway Games,0.1,0.0,0.0,0.01,0.0,0.0,Medium Profile,13
13674,NBA Jam 2002,GBA,2002,Sports,Acclaim Entertainment,0.08,0.03,0.0,0.0,0.0,0.0,Medium Profile,17
13675,Shining Force NEO,PS2,2005,Role-Playing,Sega,0.06,0.04,0.0,0.01,0.0,0.0,High Profile,3
13676,Tom Clancy's Splinter Cell Trilogy,PS3,2011,Action,Ubisoft,0.0,0.09,0.0,0.02,6.5,0.0,High Profile,1
13677,Monster Madness: Battle for Suburbia,X360,2007,Shooter,SouthPeak Interactive,0.1,0.0,0.0,0.01,0.0,0.0,Medium Profile,2
13680,Primal Rage,PS,1995,Fighting,Time Warner Interactive,0.06,0.04,0.0,0.01,0.0,0.0,Low Profile,32
13682,NCIS 3D,3DS,2012,Adventure,Ubisoft,0.06,0.04,0.0,0.01,0.0,0.0,High Profile,26
13683,Constructor HD,"PS4, XOne",2017,Strategy,Deep Silver,0.16,0.0,0.0,0.03,0.0,0.0,Medium Profile,14
13684,Heart Catch PreCure! Oshare Collection,DS,2010,Action,Namco Bandai,0.0,0.0,0.11,0.0,0.0,0.0,Medium Profile,10
13685,Taito Legends,"PS2, XB",2005,Misc,Sega,0.1,0.05,0.0,0.01,0.0,0.0,High Profile,9
13688,SaGa: Scarlet Grace,"PSV, PS4, NS",2016,Role-Playing,Square Enix,0.0,0.0,0.16,0.0,0.0,0.0,Medium Profile,5
13690,Pac 'n Roll,DS,2005,Platform,Namco,0.09,0.0,0.02,0.01,0.0,0.0,Medium Profile,21
13691,BoomBots,PS,1999,Fighting,SouthPeak Interactive,0.06,0.04,0.0,0.01,4.5,0.0,Medium Profile,16
13692,John Daly's ProStroke Golf,PS3,2010,Sports,O-Games,0.09,0.02,0.0,0.01,0.0,0.0,Low Profile,24
13693,Girl Time,DS,2009,Simulation,THQ,0.11,0.0,0.0,0.01,0.0,0.0,High Profile,20
13695,Garfield's Fun Fest,DS,2008,Platform,DSI Games,0.07,0.03,0.0,0.01,0.0,0.0,Low Profile,37
13696,World Championship Rugby,PS2,2004,Sports,Acclaim Entertainment,0.06,0.04,0.0,0.01,0.0,0.0,Medium Profile,17
13697,Just In Time Translations,DS,2009,Misc,THQ,0.1,0.0,0.0,0.01,0.0,0.0,High Profile,9
13698,Phantom Dust,XB,2005,Action,Majesco,0.08,0.02,0.0,0.0,8.2,0.0,Medium Profile,10
13699,Shinseiki Evangelion: Koutetsu no Girlfriend,"PS, SAT",1998,Adventure,Gainax Network Systems,0.0,0.0,0.22,0.01,0.0,0.0,Low Profile,6
13700,Shin Sangoku Musou: Multi Raid 2,PSP,2010,Action,KOEI,0.0,0.0,0.11,0.0,0.0,0.0,Medium Profile,10
13703,Growlanser Generations,PS2,2004,Role-Playing,Working Designs,0.06,0.04,0.0,0.01,0.0,0.0,Low Profile,25
13704,Mega Man Battle Chip Challenge,"GBA, GBA",2004,Misc,Capcom,0.08,0.03,0.05,0.0,0.0,0.0,Medium Profile,19
13707,Namco Museum Arcade Pac,NS,2018,Misc,Bandai Namco Entertainment,0.08,0.02,0.0,0.01,7.8,0.0,Low Profile,0
13712,Dementium II,DS,2010,Shooter,SouthPeak Interactive,0.09,0.02,0.0,0.01,7.5,0.0,Medium Profile,2
13715,Cold Winter,PS2,2005,Shooter,VU Games,0.06,0.04,0.0,0.01,0.0,0.0,Medium Profile,2
13716,Ring of Red,PS2,2001,Strategy,Konami,0.06,0.04,0.0,0.01,8.0,0.0,High Profile,35
13717,International Track & Field 2000,PS,1999,Sports,Konami,0.06,0.04,0.0,0.01,0.0,0.0,High Profile,4
13718,Ping Pals,DS,2004,Misc,THQ,0.1,0.0,0.0,0.01,0.0,0.0,High Profile,9
13719,Warhammer: Battle March,X360,2008,Strategy,Namco Bandai,0.09,0.02,0.0,0.01,0.0,0.0,Medium Profile,14
13720,Mystery P.I. - Portrait of a Thief,DS,2008,Adventure,PopCap Games,0.1,0.0,0.0,0.01,0.0,0.0,Low Profile,6
13721,Stubbs the Zombie in Rebel Without a Pulse,XB,2005,Action,Aspyr,0.08,0.02,0.0,0.0,0.0,0.0,Low Profile,22
13722,Batman: Dark Tomorrow,"XB, GC",2003,Action,Kemco,0.14,0.04,0.0,0.0,2.3,0.0,Low Profile,22
13723,Winter Stars,"Wii, X360, PS3",2011,Sports,Deep Silver,0.11,0.15,0.0,0.03,0.0,0.0,Medium Profile,17
13724,The Hardy Boys: Treasure on the Tracks,DS,2009,Adventure,Sega,0.1,0.0,0.0,0.01,0.0,0.0,High Profile,26
13725,Desktop Tower Defense,DS,2009,Strategy,THQ,0.1,0.0,0.0,0.01,0.0,0.0,High Profile,35
13729,Darksiders: Warmastered Edition,"PS4, XOne, WiiU",2016,Action-Adventure,THQ Nordic,0.12000000000000001,0.03,0.0,0.02,0.0,0.0,Low Profile,31
13730,Mana Khemia: Student Alliance,PSP,2009,Role-Playing,Nippon Ichi Software,0.06,0.0,0.03,0.01,3.2,0.0,Low Profile,25
13733,Super Swing Golf Season 2,Wii,2007,Sports,Tecmo,0.08,0.0,0.03,0.01,0.0,0.0,Medium Profile,17
13734,Get Up and Dance,"Wii, PS3",2011,Misc,Crave Entertainment,0.09,0.04,0.0,0.01,0.0,0.0,Medium Profile,19
13736,Naruto Ultimate Collection,PS2,2008,Misc,Namco Bandai,0.06,0.04,0.0,0.01,0.0,0.0,Medium Profile,19
13737,The King of Fighters '99,PS,2001,Fighting,Agetec,0.0,0.0,0.11,0.01,7.0,0.0,Medium Profile,16
13738,Mass Destruction,PS,1997,Shooter,ASC Games,0.06,0.04,0.0,0.01,0.0,0.0,Low Profile,28
13743,Queen's Blade: Spiral Chaos,PSP,2009,Role-Playing,Namco Bandai,0.0,0.0,0.11,0.0,0.0,0.0,Medium Profile,5
13744,Jikkyou Powerful Pro Yakyuu '95,PS,1994,Sports,Konami,0.0,0.0,0.11,0.01,0.0,0.0,High Profile,4
13746,Spy vs Spy,XB,2005,Action,Global Star Software,0.08,0.02,0.0,0.0,0.0,0.0,Low Profile,22
13747,Cory in the House,DS,2008,Action,Disney Interactive Studios,0.1,0.0,0.0,0.01,0.0,0.0,Medium Profile,10
13748,Coraline,"PS2, Wii, DS",2009,Adventure,D3 Publisher,0.15,0.04,0.0,0.01,0.0,0.0,Medium Profile,11
13749,Mighty No. 9,"PS4, WiiU, XOne",2016,Platform,Deep Silver,0.16,0.01,0.0,0.04,0.0,0.0,Medium Profile,21
13750,Sega Touring Car Championship,SAT,1997,Racing,Sega,0.0,0.0,0.11,0.0,0.0,0.0,High Profile,18
13751,My SAT Coach with The Princeton Review,DS,2008,Misc,Ubisoft,0.1,0.0,0.0,0.01,0.0,0.0,High Profile,9
13753,Cold Fear,"PS2, XB",2005,Action,Ubisoft,0.11,0.05,0.0,0.01,0.0,0.0,High Profile,1
13758,The Invisible Hours,"PS4, XOne",2017,Adventure,GameTrust,0.14,0.0,0.0,0.03,0.0,0.0,Low Profile,6
13759,Zangeki no Reginleiv,Wii,2010,Action,Nintendo,0.0,0.0,0.11,0.0,0.0,0.0,High Profile,1
13762,Monster Energy Supercross - The Official Videogame,"PS4, XOne, NS",2018,Racing,Milestone S.r.l.,0.19,0.01,0.0,0.03,0.0,0.0,Low Profile,27
13765,Daito Giken Koushiki Pachi-Slot Simulator: Hihouden,PS2,2006,Misc,Daito,0.0,0.0,0.11,0.0,0.0,0.0,Low Profile,0
13768,Murakumo: Renegade Mech Pursuit,XB,2003,Shooter,Ubisoft,0.04,0.01,0.06,0.0,0.0,0.0,High Profile,23
13771,Gun Metal,XB,2002,Shooter,Majesco,0.08,0.02,0.0,0.0,0.0,0.0,Medium Profile,2
13772,Escape The Museum,Wii,2009,Adventure,Majesco,0.1,0.01,0.0,0.01,0.0,0.0,Medium Profile,11
13773,DualPenSports,3DS,2011,Sports,Namco Bandai,0.05,0.05,0.0,0.01,0.0,0.0,Medium Profile,17
13778,Truth or Lies,"X360, Wii, PS3",2010,Misc,THQ,0.17,0.1,0.0,0.03,0.0,0.0,High Profile,9
13779,ECW Anarchy Rulz,PS,2000,Fighting,Acclaim Entertainment,0.06,0.04,0.0,0.01,0.0,0.0,Medium Profile,16
13780,Metal Slug 4 & 5,"PS2, XB",2005,Shooter,SNK Playmore,0.08,0.05,0.0,0.01,0.0,0.0,Low Profile,28
13781,The Idolmaster: Platinum Stars,PS4,2016,Simulation,Namco Bandai Games,0.0,0.0,0.11,0.0,0.0,0.0,Medium Profile,8
13782,InuYasha: A Feudal Fairy Tale,PS,2003,Fighting,Bandai,0.0,0.0,0.1,0.01,0.0,0.0,Medium Profile,16
13783,Gabrielle's Ghostly Groove 3D,3DS,2011,Adventure,Natsume,0.08,0.02,0.0,0.01,7.5,0.0,Medium Profile,11
13784,J-League Winning Eleven 9: Asia Championship,PS2,2005,Sports,Konami,0.0,0.0,0.11,0.0,0.0,0.0,High Profile,4
13786,Fabulous Finds,DS,2009,Puzzle,ValuSoft,0.1,0.0,0.0,0.01,0.0,0.0,Low Profile,30
13787,Sabrina The Teenage Witch: Potion Commotion,GBA,2002,Action,Ubisoft,0.08,0.03,0.0,0.0,0.0,0.0,High Profile,1
13788,Pocket Pets,DS,2007,Simulation,O3 Entertainment,0.1,0.0,0.0,0.01,0.0,0.0,Low Profile,33
13790,Yu Yu Hakusho: Tournament Tactics,GBA,2004,Strategy,Atari,0.08,0.03,0.0,0.0,0.0,0.0,Medium Profile,14
13791,Home Run King,GC,2002,Sports,Sega,0.09,0.02,0.0,0.0,0.0,0.0,High Profile,4
13793,To Heart 2: Dungeon Travelers,"PSP, PSV",2011,Adventure,Aquaplus,0.0,0.0,0.16999999999999998,0.0,0.0,0.0,Low Profile,6
13794,Calling,Wii,2010,Adventure,Hudson Soft,0.06,0.04,0.0,0.01,4.8,0.0,Medium Profile,11
13796,Pimp My Ride,"Wii, X360",2008,Racing,Activision,0.2,0.01,0.0,0.02,3.8,0.0,High Profile,18
13797,Let's Play Garden,"DS, Wii",2010,Simulation,Deep Silver,0.12000000000000001,0.0,0.0,0.01,0.0,0.0,Medium Profile,8
13799,Virtua Fighter CG Portrait Series Vol.1: Sarah Bryant,SAT,1995,Misc,Sega,0.0,0.0,0.11,0.0,0.0,0.0,High Profile,9
13800,Kousoku Card Battle: Card Hero,DS,2007,Strategy,Nintendo,0.0,0.0,0.11,0.0,0.0,0.0,High Profile,35
13801,AirForce Delta Strike,PS2,2004,Simulation,Konami,0.05,0.04,0.0,0.01,0.0,0.0,High Profile,20
13803,Lost Horizon,PC,2010,Adventure,Deep Silver,0.0,0.1,0.0,0.02,0.0,0.0,Medium Profile,11
13805,Tokimeki Memorial: Girl's Side 2nd Season,DS,2008,Adventure,Konami,0.0,0.0,0.11,0.0,0.0,0.0,High Profile,26
13807,Bodycount,"PS3, X360",2011,Shooter,Codemasters,0.12000000000000001,0.08,0.0,0.03,4.85,0.0,Medium Profile,2
13808,Disney's Peter Pan: Return to Never Land,GBA,2002,Platform,Disney Interactive Studios,0.08,0.03,0.0,0.0,4.0,0.0,Medium Profile,21
13809,Jake Hunter Detective Story: Memories of the Past,DS,2009,Adventure,Aksys Games,0.06,0.0,0.05,0.0,0.0,0.0,Medium Profile,11
13810,Puzzler World 2,DS,2011,Puzzle,UFO Interactive,0.02,0.07,0.0,0.02,0.0,0.0,Low Profile,30
13813,Capcom vs. SNK 2 EO,"GC, XB",2002,Fighting,Capcom,0.16999999999999998,0.04,0.0,0.0,0.0,0.0,Medium Profile,16
13817,Cloudy With A Chance of Meatballs,Wii,2009,Adventure,Ubisoft,0.1,0.0,0.0,0.01,6.7,0.0,High Profile,26
13821,Contra Advance: The Alien Wars EX,GBA,2002,Shooter,Konami,0.08,0.03,0.0,0.0,6.7,0.0,High Profile,23
13822,Cake Mania,DS,2007,Puzzle,Majesco,0.09,0.01,0.0,0.01,0.0,0.0,Medium Profile,13
13823,Master of the Monster Lair,DS,2008,Role-Playing,Atlus,0.1,0.0,0.0,0.01,6.9,0.0,Medium Profile,5
13824,The Settlers,DS,2007,Strategy,Ubisoft,0.1,0.0,0.0,0.01,0.0,0.0,High Profile,35
13825,The Elder Scrolls Online: Summerset,"XOne, PS4",2018,MMO,Bethesda Softworks,0.16999999999999998,0.01,0.0,0.03,7.5,0.0,Medium Profile,42
13826,History Channel: Battle for the Pacific,"Wii, X360",2007,Shooter,Activision,0.15000000000000002,0.0,0.0,0.01,0.0,0.0,High Profile,23
13827,Army Men: RTS,"PS2, GC",2002,Strategy,3DO,0.1,0.05,0.0,0.01,6.5,0.0,Low Profile,34
13828,Yard Sale Hidden Treasures: Sunnyville,DS,2010,Puzzle,Konami,0.1,0.0,0.0,0.01,0.0,0.0,High Profile,36
13829,Mobile Suit Gundam: MS Sensen 0079,Wii,2007,Simulation,Namco Bandai,0.0,0.0,0.11,0.0,0.0,0.0,Medium Profile,8
13834,Shin Kamaitachi no Yoru: 11 Hitome no Suspect,"PS3, PSV",2011,Misc,THQ,0.0,0.0,0.16,0.0,0.0,0.0,High Profile,9
13839,XXX,GBA,2002,Action,Activision,0.08,0.03,0.0,0.0,0.0,0.0,High Profile,1
13840,Beaterator,PSP,2009,Misc,Rockstar Games,0.07,0.02,0.0,0.02,7.9,0.0,Medium Profile,19
13841,Guitar Rock Tour,DS,2008,Misc,Gameloft,0.1,0.0,0.0,0.01,0.0,0.0,Low Profile,0
13842,Tales of the World: Tactics Union,3DS,2014,Role-Playing,Namco Bandai Games,0.0,0.0,0.11,0.0,0.0,0.0,Medium Profile,5
13843,Maximum Force,PS,1997,Shooter,Midway Games,0.06,0.04,0.0,0.01,0.0,0.0,Medium Profile,2
13844,Worms Forts: Under Siege,"PS2, XB",2005,Strategy,Sega,0.1,0.05,0.0,0.01,0.0,0.0,High Profile,35
13846,Invizimals: The Lost Tribes,PSP,2011,Action,Sony Computer Entertainment,0.0,0.08,0.0,0.03,0.0,0.0,High Profile,1
13847,Taiko no Tatsujin: V Version,PSV,2015,Music,Namco Bandai Games,0.0,0.0,0.11,0.0,0.0,0.0,Medium Profile,41
13848,Paws & Claws Pet Vet: Australian Adventures,DS,2009,Simulation,THQ,0.1,0.0,0.0,0.01,0.0,0.0,High Profile,20
13850,Astro Boy: The Video Game,"PS2, Wii, DS, PSP",2009,Action,D3 Publisher,0.28,0.04,0.0,0.03,5.425,0.0,Medium Profile,10
13851,Brave Story: New Traveler (US sales),PSP,2007,Role-Playing,Xseed Games,0.11,0.0,0.0,0.0,7.5,0.0,Medium Profile,5
13856,BlazBlue: Calamity Trigger Portable,PSP,2010,Fighting,Aksys Games,0.07,0.01,0.03,0.01,7.9,8.4,Medium Profile,16
13861,Odama,GC,2006,Misc,Nintendo,0.07,0.02,0.02,0.0,6.5,0.0,High Profile,9
13864,Mobile Light Force 2,PS2,2003,Shooter,XS Games,0.05,0.04,0.0,0.01,0.0,0.0,Low Profile,28
13865,Naval Ops: Warship Gunner,PS2,2003,Simulation,KOEI,0.05,0.04,0.0,0.01,0.0,0.0,Medium Profile,8
13866,Soma Bringer,DS,2008,Role-Playing,Nintendo,0.0,0.0,0.11,0.0,0.0,0.0,High Profile,3
13868,Hasbro Family Game Night Fun Pack,"Wii, X360",2011,Misc,Electronic Arts,0.16,0.0,0.0,0.01,0.0,0.0,High Profile,9
13869,Shin Sangoku Musou 6 Special,PSP,2011,Action,Tecmo Koei,0.0,0.0,0.11,0.0,0.0,0.0,Medium Profile,10
13871,Go! Sudoku (JP sales),PSP,2006,Puzzle,Ubisoft,0.0,0.0,0.11,0.0,0.0,0.0,High Profile,36
13874,Bionicle Heroes,"GC, X360, DS, Wii",2006,Shooter,Eidos Interactive,0.22,0.03,0.0,0.01,6.0,0.0,Medium Profile,2
13877,The King of Fighters 2000/2001,PS2,2003,Fighting,SNK,0.05,0.04,0.0,0.01,0.0,0.0,Low Profile,32
13878,Lost in Blue,DS,2005,Adventure,Konami,0.07,0.02,0.02,0.01,0.0,0.0,High Profile,26
13879,Batman & Robin,PS,1998,Action,Acclaim Entertainment,0.06,0.04,0.0,0.01,5.4,0.0,Medium Profile,10
13881,Chameleon Twist,N64,1997,Platform,Sunsoft,0.09,0.02,0.0,0.0,0.0,0.0,Low Profile,37
13882,Chopper Attack,N64,1998,Action,Midway Games,0.09,0.02,0.0,0.0,0.0,0.0,Medium Profile,10
13883,Dragon Quest Heroes: Rocket Slime,DS,2006,Adventure,Square Enix,0.13,0.0,0.31,0.01,8.3,0.0,Medium Profile,11
