Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Critic_Score,User_Score,Publisher_Profile,Cluster
2855,Lego Star Wars: The Force Awakens,"PS4, XOne, PS3, WiiU, 3DS, X360, PSV",2016,Action-Adventure,Warner Bros. Interactive Entertainment,0.88,1.78,0.08,0.38,0.0,0.0,Medium Profile,31
2858,Madagascar,"PS2, GBA, GC, DS, XB",2005,Platform,Activision,2.38,0.91,0.0,0.15,6.36,0.0,High Profile,12
2859,Rugrats Studio Tour,PS,1999,Adventure,THQ,0.57,0.67,0.0,0.07,0.0,0.0,High Profile,26
2861,Pitfall II: Lost Caverns,2600,1983,Platform,Activision,1.22,0.07,0.0,0.02,0.0,0.0,High Profile,12
2862,[Prototype],"X360, PS3",2009,Action,Activision,1.49,0.76,0.0,0.3,8.0,0.0,High Profile,1
2863,Turok: Evolution,"PS2, XB, GC, GBA",2002,Shooter,Acclaim Entertainment,1.41,0.75,0.0,0.2,7.4,0.0,Medium Profile,2
2865,EA Sports UFC 2,"PS4, XOne",2016,Sports,EA Sports,0.8,0.8400000000000001,0.0,0.27,0.0,0.0,High Profile,4
2868,Yu-Gi-Oh! The Sacred Cards,GBA,2003,Role-Playing,Konami,0.94,0.35,0.0,0.02,0.0,0.0,High Profile,3
2869,NBA Live 07,"PS2, PSP, X360, XB",2006,Sports,EA Sports,2.0100000000000002,0.05,0.02,0.25,6.425,0.0,High Profile,4
2870,SingStar '80s,PS2,2007,Misc,Sony Computer Entertainment,0.27,0.02,0.0,1.02,0.0,0.0,High Profile,9
2875,Devil May Cry 3: Dante's Awakening,PS2,2005,Action,Capcom,0.99,0.63,0.29,0.19,8.6,0.0,Medium Profile,10
2876,Dragon Quest IV: Michibikareshi Monotachi,PS,2001,Role-Playing,Enix,0.0,0.0,1.2,0.01,0.0,0.0,Low Profile,25
2879,Final Fantasy X / X-2 HD Remaster,"PS3, PS4, PSV",2014,Role-Playing,Square Enix,0.93,1.04,0.67,0.43000000000000005,8.9,0.0,Medium Profile,5
2880,Final Fantasy: Crystal Chronicles,GC,2004,Role-Playing,Nintendo,0.72,0.38,0.36,0.04,7.7,7.5,High Profile,3
2881,Kinect Star Wars,X360,2012,Action,Microsoft Studios,1.05,0.53,0.03,0.15,0.0,0.0,Medium Profile,10
2882,Kingdom Hearts 3D: Dream Drop Distance,3DS,2012,Role-Playing,Square Enix,0.88,0.27,0.34,0.1,7.5,0.0,Medium Profile,5
2883,Kingdom Hearts HD II.8 Final Chapter Prologue,PS4,2017,Role-Playing,Square Enix,0.57,0.25,0.2,0.17,7.6,0.0,Medium Profile,5
2884,Monster Hunter Freedom,PSP,2006,Role-Playing,Capcom,0.24,0.04,1.03,0.04,7.0,0.0,Medium Profile,5
2886,Resident Evil: The Umbrella Chronicles,Wii,2007,Shooter,Capcom,0.67,0.43,0.29,0.14,7.5,8.0,Medium Profile,2
2887,Romancing SaGa 3,SNES,1995,Role-Playing,Square,0.0,0.0,1.29,0.01,0.0,0.0,Low Profile,25
2888,Ryse: Son of Rome,"XOne, PC",2013,Action,Microsoft Studios,0.84,0.49,0.0,0.13,0.0,0.0,Medium Profile,10
2889,SaGa Frontier,PS,1998,Role-Playing,Sony Computer Entertainment,0.15,0.04,1.07,0.09,8.0,0.0,High Profile,3
2890,Super Street Fighter IV: 3D Edition,3DS,2011,Fighting,Capcom,0.55,0.45,0.14,0.09,8.5,0.0,Medium Profile,16
2891,Test Drive 5,PS,1998,Racing,Accolade,1.05,0.2,0.0,0.05,0.0,0.0,Low Profile,27
2894,Xenogears,PS,1998,Role-Playing,Square,0.29,0.19,0.89,0.1,7.8,0.0,Low Profile,25
2895,Assassin's Creed: Rogue,"PS3, X360, PC",2014,Action,Ubisoft,1.1199999999999999,0.9299999999999999,0.07,0.3,0.0,0.0,High Profile,1
2896,The Escapists,PC,2014,Action,Team17 Software,0.0,0.01,0.0,0.0,0.0,0.0,Low Profile,22
2897,Digimon World,PS,2000,Role-Playing,Bandai,0.56,0.38,0.28,0.08,0.0,0.0,Medium Profile,5
2899,High School Musical 3: Senior Year DANCE!,"Wii, PS2, X360",2008,Misc,Disney Interactive Studios,1.03,0.62,0.0,0.19,0.0,0.0,Medium Profile,19
2900,The Last Guardian,PS4,2016,Action-Adventure,Sony Interactive Entertainment,0.4,0.58,0.13,0.19,7.9,0.0,Low Profile,31
2902,Mega Man Battle Network 3 Blue / White Version,GBA,2003,Role-Playing,Capcom,0.39,0.02,0.85,0.03,0.0,0.0,Medium Profile,5
2904,Dark Souls II,"PS3, PC, X360",2015,Role-Playing,Namco Bandai Games,0.96,0.62,0.42,0.24,0.0,0.0,Medium Profile,5
2905,Pirates of the Caribbean: The Curse of the Black Pearl,GBA,2003,Platform,TDK Mediactive,0.93,0.34,0.0,0.02,0.0,0.0,Low Profile,37
2906,WWE 2K16,"PS4, XOne, PS3, X360, PC",2015,Sports,Take-Two Interactive,1.3,1.25,0.0,0.39999999999999997,0.0,0.0,Low Profile,24
2907,Transformers,PS2,2004,Shooter,Atari,0.63,0.49,0.0,0.16,7.8,0.0,Medium Profile,2
2909,EA Playground,"Wii, DS",2007,Sports,Electronic Arts,0.97,0.48,0.0,0.16,0.0,0.0,High Profile,4
2910,LEGO Battles,DS,2009,Strategy,Warner Bros. Interactive,0.79,0.38,0.0,0.12,0.0,0.0,Medium Profile,14
2911,Gold's Gym: Cardio Workout,Wii,2009,Sports,Ubisoft,1.1,0.04,0.06,0.09,0.0,0.0,High Profile,4
2912,Midnight Club 3: DUB Edition (America weekly sales),PS2,2005,Racing,Rockstar Games,1.22,0.05,0.0,0.01,0.0,0.0,Medium Profile,7
2913,Borderlands: The Handsome Collection,"PS4, XOne",2015,Shooter,2K Games,1.18,0.47000000000000003,0.03,0.29000000000000004,0.0,0.0,Medium Profile,2
2914,Champions of Norrath,PS2,2004,Role-Playing,Sony Online Entertainment,0.63,0.49,0.0,0.16,8.5,0.0,Low Profile,25
2915,Project CARS,"PS4, XOne, PC",2015,Racing,Bandai Namco Games,0.5,1.04,0.04,0.24,0.0,0.0,Low Profile,27
2916,Yakuman,GB,1989,Misc,Nintendo,0.0,0.0,1.28,0.0,0.0,0.0,High Profile,9
2917,Imagine: Wedding Designer,DS,2008,Simulation,Ubisoft,0.55,0.59,0.0,0.14,0.0,0.0,High Profile,20
2919,Army Men 3D,PS,1999,Action,3DO,1.1,0.14,0.0,0.04,0.0,0.0,Low Profile,22
2921,Twisted Metal 4,PS,1999,Racing,989 Studios,1.07,0.16,0.0,0.04,6.7,0.0,Low Profile,27
2922,Manhunt,"PS2, XB",2003,Action,Rockstar Games,0.77,0.53,0.0,0.17,7.85,0.0,Medium Profile,10
2925,Guitar Hero: Aerosmith,"Wii, X360, PS3, PS2",2008,Misc,Activision,3.37,0.42000000000000004,0.0,0.49,0.0,0.0,High Profile,9
2926,The Sims 2: Nightlife,PC,2005,Simulation,Electronic Arts,1.22,0.05,0.0,0.0,7.5,0.0,High Profile,20
2927,Castlevania: Symphony of the Night,PS,1997,Platform,Konami,0.58,0.4,0.21,0.08,9.3,8.7,High Profile,12
2929,Road Rash,PS,1995,Racing,Electronic Arts,0.71,0.48,0.0,0.08,0.0,0.0,High Profile,18
2930,Atlantis,2600,1982,Shooter,Imagic,1.18,0.08,0.0,0.01,0.0,0.0,Low Profile,28
2932,NBA 2K9,"X360, PS3, PS2",2008,Sports,2K Sports,1.9000000000000001,0.17,0.0,0.22,7.866666666666667,0.0,Medium Profile,17
2933,WWE '12,"X360, PS3, Wii",2011,Fighting,THQ,1.5,0.9400000000000001,0.02,0.32,8.25,0.0,High Profile,15
2936,Hogan's Alley,NES,1985,Shooter,Nintendo,0.68,0.16,0.41,0.02,0.0,0.0,High Profile,23
2938,Mario Golf: Toadstool Tour,GC,2003,Sports,Nintendo,1.09,0.15,0.25,0.04,8.1,0.0,High Profile,4
2939,Metal Gear Solid Integral,PS,1999,Adventure,Konami,0.0,0.0,0.1,0.01,9.0,0.0,High Profile,26
2940,Pikmin 3,WiiU,2013,Strategy,Nintendo,0.47,0.38,0.29,0.08,8.7,0.0,High Profile,35
2942,Jillian Michaels' Fitness Ultimatum 2009,Wii,2008,Sports,Majesco,0.96,0.2,0.0,0.11,0.0,0.0,Medium Profile,17
2944,.hack//Infection Part 1,PS2,2003,Role-Playing,Bandai,0.49,0.38,0.26,0.13,7.7,0.0,Medium Profile,5
2945,EA Sports Active 2,"Wii, PS3, X360",2010,Sports,Electronic Arts,1.48,0.8300000000000001,0.0,0.27,7.433333333333334,0.0,High Profile,4
2948,Jet Li: Rise to Honor,PS2,2004,Action,Sony Computer Entertainment,0.62,0.48,0.0,0.16,0.0,0.0,High Profile,1
2949,Battle Arena Toshinden,PS,1995,Fighting,Sony Computer Entertainment,0.39,0.26,0.53,0.08,0.0,0.0,High Profile,15
2950,Rockstar Games presents Table Tennis,"Wii, X360",2007,Sports,Rockstar Games,0.67,1.1099999999999999,0.0,0.22999999999999998,7.449999999999999,0.0,Medium Profile,17
2951,Devil Dice,PS,1998,Puzzle,THQ,0.05,0.03,1.1,0.08,0.0,0.0,High Profile,36
2952,LEGO Harry Potter: Years 5-7,"Wii, X360, PS3, DS, 3DS, PSP, PC, PSV",2011,Action,Warner Bros. Interactive,2.33,2.11,0.0,0.59,9.0,0.0,Medium Profile,10
2953,Brian Lara Cricket,PS,1998,Sports,Codemasters,0.02,1.13,0.01,0.1,0.0,0.0,Medium Profile,17
2955,Naruto Shippuden: Ultimate Ninja Storm Trilogy,NS,2018,Fighting,Bandai Namco Entertainment,0.0,0.0,0.03,0.0,7.5,0.0,Low Profile,32
2956,Tomb Raider: Underworld,"PS3, X360, Wii, DS, PS2, PC",2008,Adventure,Eidos Interactive,1.35,1.37,0.060000000000000005,0.44,7.4,0.0,Medium Profile,11
2957,Wheel of Fortune,"PS, Wii, PS2, DS, N64",1998,Misc,Hasbro Interactive,2.9299999999999997,0.67,0.0,0.26,0.0,0.0,Low Profile,0
2958,Football Manager 2011,PC,2010,Sports,Sega,0.0,1.01,0.0,0.24,8.9,0.0,High Profile,4
2959,SOCOM: U.S. Navy SEALs Confrontation,PS3,2008,Shooter,Sony Computer Entertainment,0.94,0.17,0.02,0.14,6.3,0.0,High Profile,23
2962,Assassin's Creed: Bloodlines,PSP,2009,Action,Ubisoft,0.43,0.5,0.05,0.28,6.3,0.0,High Profile,1
2963,NBA Live 2001,"PS, PS2",2000,Sports,EA Sports,1.22,0.87,0.04,0.21000000000000002,0.0,0.0,High Profile,4
2965,Combat,2600,1977,Action,Atari,1.17,0.07,0.0,0.01,0.0,0.0,Medium Profile,10
2967,Dead or Alive 4,X360,2005,Fighting,Tecmo,0.3,0.03,0.1,0.03,8.6,0.0,Medium Profile,16
2968,Dragon Ball: Daimaou Fukkatsu,NES,1988,Role-Playing,Bandai,0.0,0.0,1.25,0.0,0.0,0.0,Medium Profile,5
2969,Gegege no Kitarou 2: Youkai Gundan no Chousen,NES,1987,Role-Playing,Bandai,0.0,0.0,1.25,0.0,0.0,0.0,Medium Profile,5
2970,PokéPark Wii: Pikachu's Adventure,Wii,2010,Adventure,Nintendo,0.53,0.17,0.42,0.06,0.0,0.0,High Profile,26
