,Rank,Name,Critic_Score,User_Score
218,719,Dragon Quest IX: Sentinels of the Starry Skies,8.6,
219,720,Final Fantasy IX,9.2,
220,721,Final Fantasy X-2,8.3,
221,724,Tomb Raider (2013),8.8,
222,726,Pokémon Stadium,7.5,
223,730,Minecraft,,
224,731,Call of Duty: World at War,8.4,
225,732,Super Mario Advance 4: Super Mario Bros. 3,9.2,
226,733,Crash Bandicoot: The Wrath of Cortex,6.9,
227,734,Super Smash Bros. for Wii U,9.2,
228,736,Final Fantasy XIII,8.0,9.2
229,737,Gran Turismo 5 Prologue,8.3,
230,738,Dr. Mario,,
231,739,Uncharted: The Lost Legacy,,
232,740,Assassin's Creed III,,
233,741,Pokémon Pinball,8.7,
234,742,inFAMOUS: Second Son,,
235,743,Assassin's Creed II,9.1,
236,747,Donkey Kong 64,9.3,
237,750,Tomb Raider II,7.6,
238,751,Madden NFL 2004,9.5,
239,754,Call of Duty: Advanced Warfare,8.3,
240,755,Fallout: New Vegas,8.3,
241,756,Gran Turismo 6,8.6,
242,757,Nintendo Land,7.5,
243,758,Kingdom Hearts II,8.3,
244,759,Super Mario Land 3: Wario Land,7.9,
245,760,Donkey Kong Country 2: Diddy's Kong Quest,9.3,
246,762,Medal of Honor: Rising Sun,5.9,
247,763,Battlefield 1,9.3,
248,764,Kirby's Dream Land,,
249,766,Microsoft Flight Simulator,7.0,
250,767,Guitar Hero II,9.2,
251,768,FIFA 13,,
252,769,Resident Evil 5,8.6,8.8
253,770,Fable III,7.8,
254,773,Mario & Sonic at the Olympic Games,7.0,
255,776,Grand Theft Auto: Vice City Stories,8.4,
256,777,FIFA Soccer 11,8.7,
257,778,Super Mario Bros. Deluxe,9.7,
258,779,Final Fantasy XV,8.1,9.0
259,781,Fallout 4,8.4,
260,782,Tony Hawk's Pro Skater,9.6,
261,783,Warzone 2100,,
262,789,Cities: Skylines,,
263,803,Gears of War,9.4,9.4
264,804,Gears of War 2,9.4,9.5
265,807,Halo 5: Guardians,8.6,
266,808,Halo: Combat Evolved,9.5,
267,822,SimCity 3000,8.5,
268,832,Guitar Hero III: Legends of Rock,8.2,
269,833,Uncharted: Drake's Fortune,8.7,8.6
270,834,Driveclub,7.2,
271,836,Resident Evil 2,9.3,
272,837,Fallout 3,9.0,8.6
273,839,Splatoon,8.4,
274,840,Madden NFL 06,9.1,
275,841,Dragon Quest VIII: Journey of the Cursed King,8.6,
276,842,Monster Hunter Freedom 3,,
277,843,Diddy Kong Racing,8.3,
278,844,Pokémon Mystery Dungeon: Explorers of Time / Darkness,6.4,
279,846,Call of Duty: Black Ops IIII,,
280,847,Dr. Mario,,
281,848,Spyro the Dragon,8.7,
282,849,Crash Bandicoot N. Sane Trilogy,,
283,850,Assassin's Creed,8.2,8.5
284,852,Call of Duty: Infinite Warfare,,
285,853,Crash Team Racing,9.2,
286,854,LEGO Star Wars: The Complete Saga,7.8,
287,855,The Legend of Zelda: Phantom Hourglass,9.1,
288,856,Batman: Arkham City,9.5,
289,858,Driver 2,7.0,
290,859,The Simpsons: Hit & Run,7.7,
291,861,The Witcher 3: Wild Hunt,,
292,862,World of Warcraft: Cataclysm,9.0,
293,863,Nintendogs + cats,7.2,
294,864,Tony Hawk's Pro Skater 2,9.3,
295,865,Gran Turismo,7.7,9.5
296,866,The Lord of the Rings: The Two Towers,8.3,
297,868,Tomb Raider,8.9,
298,869,Donkey Kong Country: Tropical Freeze,9.1,9.1
299,870,God of War,9.3,
300,871,The Legend of Zelda: A Link to the Past,10.0,
301,872,Left 4 Dead,8.6,8.5
302,873,Forza Motorsport 4,9.1,
303,876,Guitar Hero III: Legends of Rock,8.6,
304,878,BioShock Infinite,,
305,879,Mario & Luigi: Bowser's Inside Story,9.1,
306,880,FIFA 15,6.9,
307,881,Mario & Sonic at the Olympic Winter Games,6.8,
308,882,Overwatch,8.8,
309,883,Madden NFL 2005,9.5,
310,884,Guitar Hero III: Legends of Rock,8.7,
311,885,Star Wars Battlefront II (2017),,
312,886,Dead Island,7.1,
313,888,ARK: Survival Evolved,,
314,894,LittleBigPlanet,9.4,9.2
315,897,Mario Tennis Aces,7.8,
316,901,Riven: The Sequel to Myst,,
317,904,Warcraft III: Reign of Chaos,9.3,
318,906,Professor Layton and the Curious Village,8.7,
319,907,Spider-Man: The Movie,8.2,
320,908,Dragon Ball: Xenoverse 2,7.1,
321,909,The Elder Scrolls IV: Oblivion,9.2,
322,910,The Legend of Zelda: The Wind Waker,9.6,
323,911,Tony Hawk's Pro Skater 3,9.1,
324,914,Winning Eleven: Pro Evolution Soccer 2007,8.8,
325,916,Kirby Star Allies,8.1,10.0
326,917,Zelda II: The Adventure of Link,,
327,918,Michael Jackson: The Experience,5.6,
328,919,Tom Clancy's The Division,,
329,920,Need for Speed: Most Wanted,8.6,
330,921,Tom Clancy's Rainbow Six: Siege,,
331,922,Call of Duty: Advanced Warfare,9.1,
332,923,Watch Dogs,,
333,924,Animal Crossing: City Folk,7.1,8.8
334,925,Dragon Ball FighterZ,,
335,927,Asteroids,,
336,929,Dragon Quest VII,8.0,3.0
337,930,Monster Hunter Generations,8.8,
338,931,Naruto Shippuden: Ultimate Ninja Storm 4,,
339,932,Batman: Arkham Asylum,9.0,
340,933,Call of Duty: Advanced Warfare,9.1,
341,934,God of War II,9.3,9.8
342,935,The Legend of Zelda: A Link Between Worlds,9.3,
343,936,Namco Museum,,
344,937,Super Paper Mario,8.5,
345,938,Assassin's Creed: Revelations,8.8,
346,939,Assassin's Creed: Revelations,7.9,
347,940,FIFA Soccer 06,8.4,
348,942,Monster Hunter 4 Ultimate,8.8,
349,944,Street Fighter IV,9.3,9.0
350,946,FIFA Soccer 12,9.2,
351,947,Call of Duty: Ghosts,7.5,
352,948,Teenage Mutant Ninja Turtles,5.9,
353,949,Just Cause 2,8.2,
354,950,Excitebike,,
355,952,Frogger,,
356,953,Star Wars Battlefront (2015),6.9,
357,954,FIFA 14,,
358,956,Madden NFL 2003,9.4,
359,957,Assassin's Creed: Unity,,
360,958,Destiny 2,,
361,961,Super Mario World 2: Yoshi's Island,9.0,
362,962,Batman: Arkham Knight,8.1,
363,963,FIFA 07 Soccer,8.4,
364,964,The Sims 4,7.0,
365,965,Monster Hunter 4,,
366,969,Street Fighter II Turbo,9.0,
367,970,Crash Bandicoot 2: Cortex Strikes Back,8.6,
368,971,Fallout: New Vegas,8.2,
369,973,Assassin's Creed Origins,,
370,974,Far Cry 4,8.4,
371,975,Carnival Games,4.2,
372,976,World Soccer Winning Eleven 9,8.9,
373,977,Forza Motorsport 2,9.1,
374,978,Namco Museum Vol.3,,
375,979,Tekken Tag Tournament,8.7,
376,980,Until Dawn,,
377,981,Super Mario Maker,8.8,
378,982,Golf,,
379,989,Diablo II,8.8,
380,992,EyeToy Play,7.5,
381,994,Frogger,,
382,1004,Metal Gear Solid 3: Snake Eater,9.0,
383,1006,Monster Hunter: World,9.3,9.0
384,1013,Pitfall!,,
385,1021,Star Fox 64,9.0,
386,1031,"Warhammer 40,000: Dawn of War",8.8,
387,1032,Who Wants to be a Millionaire,,
388,1033,World of Warcraft: Wrath of the Lich King,9.3,9.3
389,1036,Zoo Tycoon,7.1,
