Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Critic_Score,User_Score
2624,Resident Evil Outbreak,PS2,2004.0,Action,Capcom  ,0.54,0.35,0.46,0.1,7.1,
2625,Tamagotchi,GB,1997.0,Simulation,Bandai  ,,,1.44,0.01,,
2626,Tekken Tag Tournament 2,PS3,2012.0,Fighting,Namco Bandai Games  ,0.28,0.33,0.13,0.12,,
2627,Doom (2016),XOne,2016.0,Shooter,Bethesda Softworks  ,0.76,0.57,,0.13,,
2628,Sonic & SEGA All-Stars Racing,Wii,2010.0,Racing,Sega  ,0.61,0.69,,0.15,7.9,
2629,Sega Genesis Collection,PSP,2006.0,Misc,Sega  ,0.53,0.58,,0.34,8.3,
2630,Tony Hawk's American Wasteland (Weekly american sales),PS2,2005.0,Sports,Activision  ,1.38,0.05,,0.02,,
2631,The House of the Dead 2 & 3 Return,Wii,2008.0,Shooter,Sega  ,0.77,0.5,0.03,0.15,6.5,7.0
2632,Assassin's Creed Syndicate,XOne,2015.0,Action,Ubisoft  ,0.71,0.61,,0.12,,
2633,BioShock,PS3,2008.0,Shooter,2K Games  ,0.75,0.48,0.01,0.21,9.3,9.6
2634,SingStar Pop,PS2,2007.0,Misc,Sony Computer Entertainment  ,0.04,1.08,,0.32,,
2636,Kirby Super Star,SNES,1996.0,Platform,Nintendo  ,0.26,0.07,1.09,0.02,,
2637,SoulCalibur VI,PS4,2018.0,Fighting,Bandai Namco Games  ,0.44,0.11,0.04,0.12,,
2638,Style Savvy: Trendsetters,3DS,2012.0,Simulation,Nintendo  ,0.16,0.03,0.54,0.02,,
2639,My Word Coach,DS,2007.0,Misc,Ubisoft  ,0.37,0.9,,0.18,,
2640,Star Wars: The Force Unleashed II,X360,2010.0,Action,LucasArts  ,0.95,0.37,,0.12,6.3,
2641,Sonic Rivals,PSP,2006.0,Racing,Sega  ,0.73,0.43,,0.28,7.0,
2642,Tiger Woods PGA Tour 2005,PS2,2004.0,Sports,EA Sports  ,1.03,0.32,,0.09,,
2643,Disney Princess: Magical Jewels,DS,2007.0,Adventure,Disney Interactive Studios  ,1.12,0.2,,0.12,,
2644,NCAA Football 2003,PS2,2002.0,Sports,EA Sports  ,1.16,0.08,,0.19,,
2645,Frogger 2: Swampy's Revenge,PS,2000.0,Action,Hasbro Interactive  ,0.8,0.54,,0.09,,
2646,WWE SmackDown vs Raw 2008,X360,2007.0,Fighting,THQ  ,0.92,0.38,0.0,0.13,7.3,
2647,Smarty Pants,Wii,2007.0,Misc,Electronic Arts  ,0.52,0.75,,0.16,6.5,
2648,Dead Space 2,PS3,2011.0,Shooter,Electronic Arts  ,0.73,0.49,,0.21,9.0,
2649,Kinect Joy Ride,X360,2010.0,Racing,Microsoft Game Studios  ,0.92,0.39,0.0,0.12,5.6,
2651,Disney's DuckTales,GB,1990.0,Platform,Capcom  ,0.82,0.23,0.35,0.03,,
2652,The Legend of Zelda: Twilight Princess,GC,2006.0,Adventure,Nintendo  ,1.15,0.36,0.04,0.04,9.5,
2653,Classic NES Series: Super Mario Bros.,GBA,2004.0,Platform,Nintendo  ,,,1.39,0.03,,
2654,Triple Play 2000,PS,1999.0,Sports,EA Sports  ,0.79,0.54,,0.09,,
2655,South Park: The Fractured But Whole,PS4,2017.0,Role-Playing,Ubisoft  ,0.62,0.57,,0.24,,
2656,Hasbro Family Game Night,Wii,2008.0,Misc,Electronic Arts  ,0.96,0.34,,0.13,,
2657,SoulCalibur III,PS2,2005.0,Fighting,Namco  ,0.74,0.15,0.13,0.05,8.5,
2658,Cabela's Big Game Hunter,PS2,2002.0,Sports,Activision  ,0.7,0.54,,0.18,,
2659,NBA Live 06 (Weekly american sales),PS2,2005.0,Sports,EA Sports  ,1.35,0.05,,0.02,,
2660,Middle-Earth: Shadow of Mordor,XOne,2014.0,Action,Warner Bros. Interactive Entertainment  ,0.77,0.52,0.01,0.12,,
2661,NFL Street,PS2,2004.0,Sports,EA Sports BIG   ,1.15,0.08,,0.19,,
2662,Nintendo Labo: Toy-Con 01 Variety Kit,NS,2018.0,Misc,Nintendo  ,0.44,0.34,0.27,0.07,7.7,
2663,Pokémon XD: Gale of Darkness,GC,2005.0,Role-Playing,Nintendo  ,0.71,0.19,0.31,0.03,6.9,
2664,R.B.I. Baseball 2,NES,1990.0,Sports,Tengen  ,0.12,,1.3,,,
2665,Sonic Heroes,GC,2004.0,Platform,Sega  ,1.05,0.44,0.06,0.04,7.2,
2666,Super Metroid,SNES,1994.0,Adventure,Nintendo  ,0.57,0.12,0.71,0.02,8.0,
2667,LEGO Batman 2: DC Super Heroes,Wii,2012.0,Action-Adventure,Warner Bros. Interactive Entertainment  ,0.9,0.4,,0.12,,
2668,Tiger Woods PGA Tour 09 All-Play,Wii,2008.0,Sports,EA Sports  ,0.8,0.48,,0.14,,
2669,Medal of Honor: Warfighter,PS3,2012.0,Shooter,Electronic Arts  ,0.49,0.64,0.06,0.23,,
2670,UFC Undisputed 2010,PS3,2010.0,Fighting,THQ  ,0.8,0.4,0.02,0.19,8.4,
2671,Rayman Raving Rabbids,Wii,2006.0,Misc,Ubisoft  ,1.22,0.07,0.02,0.11,7.5,
2672,Injustice: Gods Among Us,X360,2013.0,Fighting,Warner Bros. Interactive Entertainment  ,0.97,0.31,,0.14,,
2673,LEGO Star Wars: The Video Game,GC,2005.0,Action,Eidos Interactive  ,1.09,0.28,,0.04,7.9,
2674,Hello Kitty Party,DS,2009.0,Misc,Majesco  ,0.78,0.51,,0.13,,
2675,LEGO Star Wars II: The Original Trilogy,PSP,2006.0,Action,LucasArts  ,0.58,0.51,,0.32,8.4,
2676,Metroid Prime 3: Corruption,Wii,2007.0,Shooter,Nintendo  ,0.89,0.74,0.07,0.09,9.0,9.4
2677,Style Savvy: Fashion Forward,3DS,2016.0,Simulation,Nintendo  ,0.08,0.67,0.03,0.05,6.5,
2678,The Lion King,GEN,1994.0,Action,Virgin Interactive  ,0.97,0.37,0.03,0.05,,
2680,LEGO Indiana Jones 2: The Adventure Continues,Wii,2009.0,Adventure,LucasArts  ,0.9,0.38,,0.13,7.5,
2681,Knockout Kings 2000,PS,1999.0,Fighting,EA Sports  ,1.02,0.34,,0.05,,
2682,Twisted Metal: Black,PS2,2001.0,Racing,Sony Computer Entertainment  ,1.19,0.17,,0.05,8.9,
2683,NASCAR 2005: Chase for the Cup,PS2,2004.0,Racing,EA Sports  ,0.69,0.54,,0.18,,
2684,Fight Night Round 4,X360,2009.0,Fighting,EA Sports  ,0.95,0.33,,0.13,8.7,
2685,Spider-Man: The Movie,XB,2002.0,Action,Activision  ,1.07,0.28,,0.05,7.7,
2686,Dead Space,X360,2008.0,Shooter,Electronic Arts  ,0.89,0.39,,0.13,8.9,
2687,Need for Speed: Undercover,PS2,2008.0,Racing,Electronic Arts  ,0.38,0.08,0.03,0.93,,
2688,2Xtreme,PS,1996.0,Sports,Sony Computer Entertainment  ,1.15,0.2,,0.05,8.3,
2689,Anno 2070,PC,2011.0,Strategy,Ubisoft  ,,1.14,,0.26,8.7,
2690,Sonic Advance 3,GBA,2004.0,Platform,THQ  ,0.74,0.52,0.08,0.06,,
2693,Bravely Default: Flying Fairy,3DS,2014.0,Role-Playing,Nintendo  ,0.5,0.34,0.49,0.08,8.2,
2698,Dragon Quest III: Soshite Densetsu e...,SNES,1996.0,Role-Playing,Enix  ,,,1.36,0.0,,
2699,Final Fantasy III,NES,1990.0,Role-Playing,Square  ,,,1.39,0.01,,
2701,Gran Turismo 4 Prologue,PS2,2004.0,Racing,Sony Computer Entertainment  ,,0.47,0.77,0.17,,
2703,NFL GameDay 98,PS,1997.0,Sports,Sony Computer Entertainment  ,1.58,0.06,,0.04,8.6,
2705,Pokémon Rumble Blast,3DS,2011.0,Action,Nintendo  ,0.47,0.26,0.35,0.07,5.3,
2708,Resident Evil - Code: Veronica X,PS2,2001.0,Action,Capcom  ,1.08,0.7,0.34,0.21,8.4,
2709,Resident Evil: Revelations Collection,NS,2017.0,Action,Capcom  ,0.18,,0.07,0.02,,
2710,Star Ocean: Till The End of Time,PS2,2004.0,Role-Playing,Square Enix  ,0.8,0.21,0.55,0.15,7.8,
2714,Colin McRae Rally 3,PS2,2003.0,Racing,Codemasters  ,0.03,1.05,0.02,0.3,,
2715,Batman: Arkham Knight,PC,2015.0,Action,Warner Bros. Interactive Entertainment  ,0.1,0.04,,0.01,,
2717,Madden NFL 2002,PS,2001.0,Sports,EA Sports  ,0.78,0.53,,0.09,,
2718,The Sims 4,PS4,2017.0,Simulation,Electronic Arts  ,0.44,0.72,0.01,0.22,,
2719,Street Fighter V,PS4,2016.0,Fighting,Capcom  ,0.64,0.42,0.12,0.22,,
2720,Spintires,PC,2014.0,Misc,Unknown  ,,0.01,,0.0,,
2721,Toy Story 3: The Video Game,Wii,2010.0,Action,Disney Interactive Studios  ,0.63,0.62,,0.14,,
2722,Sonic Generations,X360,2011.0,Platform,Sega  ,0.71,0.54,0.0,0.13,7.7,
2723,Ace Combat 6: Fires of Liberation,X360,2007.0,Simulation,Namco Bandai  ,0.69,0.04,0.22,0.07,8.1,
2724,NBA Jam,SNES,1994.0,Sports,Acclaim Entertainment  ,1.19,0.16,,0.03,,
2725,Pokémon Mystery Dungeon: Gates to Infinity,3DS,2013.0,Role-Playing,Nintendo  ,0.44,0.32,0.47,0.07,5.9,
2726,Teenage Mutant Ninja Turtles III: The Manhattan Project,NES,1992.0,Action,Konami  ,1.05,0.17,0.15,0.02,,
2727,Battlefield 4,PC,2013.0,Shooter,Electronic Arts  ,0.44,0.85,,0.1,,
2728,Assassin's Creed Odyssey,XOne,2018.0,Action-Adventure,Ubisoft  ,0.91,0.35,,0.13,,
2729,Hannah Montana: Spotlight World Tour,Wii,2007.0,Action,Disney Interactive Studios  ,0.87,0.38,,0.13,,
2730,Bakugan: Battle Brawlers,DS,2009.0,Action,Activision  ,1.26,0.02,,0.1,6.4,
2732,Far Cry 2,PS3,2008.0,Shooter,Ubisoft  ,0.43,0.69,0.01,0.26,8.4,
2733,True Crime: Streets of LA,XB,2003.0,Action,Activision  ,0.96,0.37,,0.05,,
2734,Deus Ex: Human Revolution,X360,2011.0,Shooter,Square Enix  ,0.77,0.47,0.02,0.12,8.8,
2735,The Sims 2,PSP,2005.0,Simulation,Electronic Arts  ,0.49,0.56,,0.33,6.2,
2737,Rocket League,XOne,2016.0,Sports,505 Games  ,0.52,0.75,,0.11,8.0,
2739,Deus Ex: Human Revolution,PS3,2011.0,Shooter,Square Enix  ,0.5,0.6,0.07,0.22,8.8,
2740,Duke Nukem: Time to Kill,PS,1998.0,Shooter,GT Interactive  ,0.77,0.54,,0.07,,
2741,The Elder Scrolls Online: Tamriel Unlimited,XOne,2015.0,MMO,Bethesda Softworks  ,0.86,0.39,,0.13,,
2742,Titanfall,X360,2014.0,Shooter,Electronic Arts  ,0.88,0.35,0.02,0.13,,
2743,Dave Mirra Freestyle BMX 2,PS2,2001.0,Sports,Acclaim Entertainment  ,0.67,0.53,,0.18,,
2744,LittleBigPlanet PS Vita,PSV,2012.0,Platform,Sony Computer Entertainment  ,0.36,0.69,0.02,0.31,,
2745,Titanfall 2,XOne,2016.0,Shooter,Electronic Arts  ,0.88,0.37,,0.13,,
2746,LEGO Indiana Jones: The Original Adventures,PS2,2008.0,Adventure,LucasArts  ,0.6,0.01,,0.76,,
2747,Call of Duty: Black Ops,Wii,2010.0,Shooter,Activision  ,0.8,0.46,,0.12,7.5,
2748,Crysis 2,X360,2011.0,Shooter,Electronic Arts  ,0.73,0.5,0.02,0.13,8.7,
2749,A Collection of Activision Classic Games for the Atari 2600,PS,1998.0,Misc,Activision  ,0.76,0.52,,0.09,3.8,
2750,Dead Rising 2,PS3,2010.0,Action,Capcom  ,0.43,0.57,0.15,0.22,8.1,
2751,Captain Toad: Treasure Tracker,WiiU,2014.0,Puzzle,Nintendo  ,0.64,0.46,0.2,0.11,7.7,
2753,Kid Icarus: Uprising,3DS,2012.0,Action,Nintendo  ,0.48,0.36,0.37,0.07,8.0,
2754,Mario vs. Donkey Kong,GBA,2004.0,Puzzle,Nintendo  ,0.68,0.25,0.21,0.02,,
2755,Paper Mario,N64,2001.0,Role-Playing,Nintendo  ,0.58,0.18,0.59,0.02,9.1,
2756,Personal Trainer: Math,DS,2009.0,Puzzle,Nintendo  ,0.48,1.12,,0.08,,
2757,Pocket Monsters Stadium,N64,1998.0,Strategy,Nintendo  ,,,1.37,,,
2758,Pokémon Pinball: Ruby & Sapphire (Old all region sales),GBA,2003.0,Misc,Nintendo  ,0.68,0.38,0.44,0.05,,
2759,The Final Fantasy Legend,GB,1990.0,Role-Playing,Square  ,,,1.1,0.0,6.0,
2760,Yu-Gi-Oh! The Duelists of the Roses,PS2,2003.0,Action,Konami  ,1.07,0.35,,,7.0,
2761,Age of Mythology,PC,2002.0,Strategy,Microsoft Game Studios  ,0.02,0.06,,0.01,8.8,
2762,Star Wars Knights of the Old Republic II: The Sith Lords,XB,2004.0,Role-Playing,LucasArts  ,0.99,0.33,,0.05,,9.3
2763,NBA 2K15,PS3,2014.0,Sports,2K Sports  ,0.89,0.22,0.02,0.24,,
2764,Ridge Racer 7,PS3,2006.0,Racing,Namco Bandai  ,0.24,0.7,0.16,0.26,,
2765,Need for Speed: The Run,X360,2011.0,Racing,Electronic Arts  ,0.63,0.57,0.0,0.16,5.5,
2766,LEGO Harry Potter: Years 1-4,PS3,2010.0,Adventure,Warner Bros. Interactive  ,0.55,0.61,,0.21,7.9,
2767,GoldenEye 007,Wii,2010.0,Shooter,Activision  ,0.76,0.6,0.0,,8.0,
2768,Tom Clancy's Ghost Recon 2,XB,2004.0,Shooter,Ubisoft  ,0.86,0.45,,0.06,,
2769,Crash Bandicoot 2: N-Tranced,GBA,2003.0,Platform,Vivendi Games  ,0.63,0.66,,0.07,7.5,
2770,Wolfenstein II: The New Colossus,PS4,2017.0,Shooter,Bethesda Softworks  ,0.55,0.58,0.01,0.22,9.0,
2771,SingStar Abba,PS2,2008.0,Misc,Sony Computer Entertainment  ,0.23,0.04,,1.09,,
2773,Battlefield Vietnam,PC,2004.0,Shooter,Electronic Arts  ,,0.02,,0.0,8.5,
2774,Gradius,NES,1986.0,Shooter,Konami  ,0.27,0.08,1.0,0.01,,
2776,The Legend of Zelda: Tri Force Heroes,3DS,2015.0,Adventure,Nintendo  ,0.61,0.34,0.19,0.09,7.4,
2777,Centipede,2600,1982.0,Shooter,Atari  ,1.26,0.08,,0.01,,
2778,Gardening Mama,DS,2009.0,Puzzle,Majesco  ,0.79,0.42,0.01,0.13,6.6,
2779,Dead to Rights,PS2,2002.0,Shooter,Namco  ,0.67,0.52,,0.17,,
2780,Skylanders SWAP Force,X360,2013.0,Platform,Activision  ,0.88,0.35,,0.13,,
2781,Marvel vs. Capcom 3: Fate of Two Worlds,PS3,2011.0,Fighting,Capcom  ,0.81,0.28,0.11,0.15,8.2,
2782,FIFA 17,PS3,2016.0,Sports,Electronic Arts  ,0.14,0.98,0.04,0.2,,
2783,Metroid: Other M,Wii,2010.0,Action,Nintendo  ,0.85,0.28,0.13,0.1,7.7,
2784,Hasbro Family Game Night 2,Wii,2009.0,Misc,Electronic Arts  ,0.7,0.52,,0.13,6.4,
2785,WWE '13,PS3,2012.0,Sports,THQ  ,0.51,0.62,,0.22,,
2786,Dance Dance Revolution (Japan),PS,1999.0,Simulation,Konami  ,,,1.26,0.09,,
2787,Hearts of Iron IV,PC,2016.0,Strategy,Paradox Interactive   ,,0.09,,0.01,,
2788,Madden NFL 98,PS,1997.0,Sports,EA Sports  ,1.29,0.03,,0.03,,
2789,Burnout Paradise,X360,2008.0,Racing,Electronic Arts  ,0.63,0.57,0.01,0.14,8.9,
2790,Disney Princess: Enchanted Journey,Wii,2007.0,Adventure,Disney Interactive Studios  ,1.22,0.03,,0.1,,
2792,Kirby Air Ride,GC,2003.0,Racing,Nintendo  ,1.01,0.11,0.45,0.04,6.4,
2793,Mega Man Battle Network 4: Red Sun / Blue Moon,GBA,2004.0,Role-Playing,Capcom  ,0.31,0.04,0.96,0.01,,
2794,Resident Evil,GC,2002.0,Action,Capcom  ,0.63,0.38,0.35,0.05,8.9,
2795,Shadow The Hedgehog,PS2,2005.0,Platform,Sega  ,0.5,0.02,,0.08,4.8,
2796,FIFA Soccer 08,PSP,2007.0,Sports,EA Sports  ,0.2,0.76,,0.39,7.9,
2797,The Simpsons: Hit & Run,XB,2003.0,Racing,VU Games  ,0.7,0.58,,0.07,,
2798,FIFA Soccer 09,PSP,2008.0,Sports,EA Sports  ,0.23,0.73,0.02,0.37,8.1,
2799,Watch Dogs 2,XOne,2016.0,Action,Ubisoft  ,0.71,0.53,,0.12,,
2800,SingStar Party,PS2,2004.0,Misc,Sony Computer Entertainment  ,,1.04,,0.31,,
2801,FIFA Soccer 08,X360,2007.0,Sports,EA Sports  ,0.31,0.89,0.01,0.14,,
2802,Test Drive,PS2,2002.0,Racing,Atari  ,0.95,0.21,0.01,0.18,,
2803,Tom Clancy's Rainbow Six: Vegas 2,PS3,2008.0,Shooter,Ubisoft  ,0.66,0.45,0.04,0.2,8.2,
2804,Devil May Cry 4,X360,2008.0,Action,Capcom  ,0.79,0.34,0.08,0.13,8.5,
2805,F1 2010,PS3,2010.0,Racing,Codemasters  ,0.25,0.75,0.08,0.26,8.4,
2806,Mortal Kombat 3,GEN,1995.0,Fighting,Williams Entertainment  ,1.03,0.27,,0.04,,
2808,Doom 3,XB,2005.0,Shooter,Activision  ,0.85,0.43,,0.06,,
2809,The ICO & Shadow of the Colossus Collection,PS3,2011.0,Adventure,Sony Computer Entertainment  ,0.67,0.36,0.13,0.18,9.0,
2810,Donkey Kong Jungle Beat,GC,2005.0,Platform,Nintendo  ,0.84,0.22,0.24,0.04,7.9,
2811,Need for Speed Carbon,PS2,2006.0,Racing,Electronic Arts  ,1.22,0.05,0.05,0.01,7.7,
2812,Battlefield: Bad Company,PS3,2008.0,Shooter,Electronic Arts  ,0.76,0.36,0.05,0.17,8.6,
2813,Command & Conquer: Red Alert 2,PC,2000.0,Strategy,Electronic Arts  ,1.32,0.02,,,8.9,
2814,Max Payne 2: The Fall of Max Payne,PS2,2003.0,Shooter,Rockstar Games  ,0.65,0.51,,0.17,6.8,
2815,MVP Baseball 2004,PS2,2004.0,Sports,Electronic Arts  ,1.1,0.06,,0.18,,
2816,Ratchet & Clank: Up Your Arsenal (Weekly american sales),PS2,2004.0,Platform,Sony Computer Entertainment  ,1.27,0.05,,0.02,,
2817,WWE 2K18,PS4,2017.0,Sports,2K Sports  ,0.45,0.67,,0.22,,
2818,Crysis 2,PS3,2011.0,Shooter,Electronic Arts  ,0.48,0.57,0.06,0.22,8.8,
2819,Saints Row IV,PS3,2013.0,Action,Deep Silver  ,0.58,0.45,0.09,0.21,,
2820,Alan Wake,X360,2010.0,Action,Microsoft Game Studios  ,0.66,0.5,0.05,0.12,8.3,
2822,Spider-Man: The Movie,GBA,2002.0,Platform,Activision  ,0.92,0.35,0.01,0.05,7.9,
2824,Ni no Kuni: Wrath of the White Witch,PS3,2013.0,Role-Playing,Namco Bandai Games  ,0.6,0.51,0.21,0.22,,
2825,Tales of Xillia,PS3,2013.0,Role-Playing,Namco Bandai Games  ,0.29,0.2,0.67,0.1,,
2826,The Sims: Bustin' Out,GBA,2003.0,Simulation,Electronic Arts  ,0.93,0.35,,0.06,,
2827,Tony Hawk's Pro Skater,GB,2000.0,Sports,Activision  ,0.9,0.38,0.01,0.05,7.1,
2828,WWF War Zone,N64,1998.0,Fighting,Acclaim Entertainment  ,1.08,0.24,,0.02,,
2829,Triple Play 2001,PS,2000.0,Sports,EA Sports  ,0.74,0.5,,0.09,,
2831,Corvette,PS2,2004.0,Racing,Global Star Software  ,0.65,0.51,,0.17,,
2832,Grand Theft Auto: Chinatown Wars,DS,2009.0,Adventure,Rockstar Games  ,0.58,0.56,0.05,0.14,9.5,9.6
2834,WWE SmackDown vs Raw 2008,PS3,2007.0,Fighting,THQ  ,0.62,0.5,0.01,0.2,7.3,
2835,Skylanders Giants,X360,2012.0,Misc,Activision  ,0.76,0.44,,0.12,,
2836,UFC Undisputed 2010,X360,2010.0,Fighting,THQ  ,0.9,0.31,0.0,0.11,8.6,
2837,Fallout 76,PS4,2018.0,Role-Playing,Bethesda Softworks  ,0.52,0.49,0.1,0.2,5.1,
2838,Need for Speed Underground Rivals,PSP,2005.0,Racing,Electronic Arts  ,0.69,0.38,0.02,0.24,7.6,
2839,Gyromite,NES,1985.0,Puzzle,Nintendo  ,0.73,0.16,0.4,0.03,,
2840,Romancing SaGa,SNES,1992.0,Role-Playing,Square  ,,,0.97,,,
2841,TOCA 2 Touring Car Championship,PS,1999.0,Racing,Codemasters  ,0.03,1.16,0.02,0.11,,
2842,Petz Wild Animals: Dolphinz,DS,2007.0,Simulation,Ubisoft  ,0.71,0.48,,0.13,,
2843,MAG: Massive Action Game,PS3,2010.0,Shooter,Sony Computer Entertainment  ,0.77,0.3,0.09,0.16,7.4,9.5
2844,NFL 2K3,PS2,2002.0,Sports,Sega  ,1.06,0.08,,0.18,,
2845,Fighting Force,PS,1997.0,Action,Eidos Interactive  ,0.73,0.5,,0.09,,
2847,Resident Evil 6,PC,2013.0,Action,Capcom  ,,0.04,,0.0,,
2848,Madden NFL 97,PS,1996.0,Sports,EA Sports  ,0.73,0.5,,0.09,,
2849,Rage,PS3,2011.0,Shooter,Bethesda Softworks  ,0.47,0.59,0.06,0.2,7.9,
2850,The LEGO Movie Videogame,X360,2014.0,Action-Adventure,Warner Bros. Interactive Entertainment  ,0.69,0.51,,0.11,,
2851,TNN Motor Sports Hardcore 4x4,PS,1996.0,Racing,ASC Games  ,0.73,0.5,,0.09,,
2852,FIFA 14,XOne,2013.0,Sports,EA Sports  ,0.44,0.78,,0.1,,
2853,Thief,PC,2014.0,Action,Square Enix  ,0.0,0.1,,0.01,,
2854,IHRA Drag Racing 2,PS2,2002.0,Racing,Bethesda Softworks  ,0.64,0.5,,0.17,,
2855,Lego Star Wars: The Force Awakens,PS4,2016.0,Action-Adventure,Warner Bros. Interactive Entertainment  ,0.3,0.78,0.02,0.2,,
2858,Madagascar,PS2,2005.0,Platform,Activision  ,0.78,0.45,,0.07,6.4,
2859,Rugrats Studio Tour,PS,1999.0,Adventure,THQ  ,0.57,0.67,,0.07,,
2860,LEGO Batman: The Videogame,PS3,2008.0,Adventure,Warner Bros. Interactive  ,0.72,0.39,,0.19,7.2,
2861,Pitfall II: Lost Caverns,2600,1983.0,Platform,Activision  ,1.22,0.07,,0.02,,
2862,[Prototype],X360,2009.0,Action,Activision  ,0.84,0.35,,0.12,7.9,
2863,Turok: Evolution,PS2,2002.0,Shooter,Acclaim Entertainment  ,0.64,0.5,,0.17,,
2864,The Beatles: Rock Band,X360,2009.0,Misc,MTV Games  ,0.97,0.23,,0.11,8.9,
2865,EA Sports UFC 2,PS4,2016.0,Sports,EA Sports  ,0.44,0.65,,0.21,,
2866,Burnout 3: Takedown,XB,2004.0,Racing,Electronic Arts  ,0.84,0.43,,0.04,9.3,
2868,Yu-Gi-Oh! The Sacred Cards,GBA,2003.0,Role-Playing,Konami  ,0.94,0.35,,0.02,,
2869,NBA Live 07,PS2,2006.0,Sports,EA Sports  ,1.07,0.04,0.02,0.17,6.3,
2870,SingStar '80s,PS2,2007.0,Misc,Sony Computer Entertainment  ,0.27,0.02,,1.02,,
2871,LEGO Batman: The Videogame,PSP,2008.0,Adventure,Warner Bros. Interactive  ,0.57,0.46,,0.27,7.9,
2875,Devil May Cry 3: Dante's Awakening,PS2,2005.0,Action,Capcom  ,0.99,0.63,0.29,0.19,8.6,
2876,Dragon Quest IV: Michibikareshi Monotachi,PS,2001.0,Role-Playing,Enix  ,,,1.2,0.01,,
2879,Final Fantasy X / X-2 HD Remaster,PS3,2014.0,Role-Playing,Square Enix  ,0.43,0.39,0.32,0.16,8.5,
2880,Final Fantasy: Crystal Chronicles,GC,2004.0,Role-Playing,Nintendo  ,0.72,0.38,0.36,0.04,7.7,7.5
2881,Kinect Star Wars,X360,2012.0,Action,Microsoft Studios  ,1.05,0.53,0.03,0.15,,
2882,Kingdom Hearts 3D: Dream Drop Distance,3DS,2012.0,Role-Playing,Square Enix  ,0.88,0.27,0.34,0.1,7.5,
2883,Kingdom Hearts HD II.8 Final Chapter Prologue,PS4,2017.0,Role-Playing,Square Enix  ,0.57,0.25,0.2,0.17,7.6,
2884,Monster Hunter Freedom,PSP,2006.0,Role-Playing,Capcom  ,0.24,0.04,1.03,0.04,7.0,
2886,Resident Evil: The Umbrella Chronicles,Wii,2007.0,Shooter,Capcom  ,0.67,0.43,0.29,0.14,7.5,8.0
2887,Romancing SaGa 3,SNES,1995.0,Role-Playing,Square  ,,,1.29,0.01,,
2888,Ryse: Son of Rome,XOne,2013.0,Action,Microsoft Studios  ,0.84,0.49,0.0,0.13,,
2889,SaGa Frontier,PS,1998.0,Role-Playing,Sony Computer Entertainment  ,0.15,0.04,1.07,0.09,8.0,
2890,Super Street Fighter IV: 3D Edition,3DS,2011.0,Fighting,Capcom  ,0.55,0.45,0.14,0.09,8.5,
2891,Test Drive 5,PS,1998.0,Racing,Accolade  ,1.05,0.2,,0.05,,
2894,Xenogears,PS,1998.0,Role-Playing,Square  ,0.29,0.19,0.89,0.1,7.8,
2895,Assassin's Creed: Rogue,PS3,2014.0,Action,Ubisoft  ,0.46,0.57,0.07,0.2,,
2896,The Escapists,PC,2014.0,Action,Team17 Software  ,,0.01,,0.0,,
2897,Digimon World,PS,2000.0,Role-Playing,Bandai  ,0.56,0.38,0.28,0.08,,
2899,High School Musical 3: Senior Year DANCE!,Wii,2008.0,Misc,Disney Interactive Studios  ,0.67,0.49,0.0,0.13,,
2900,The Last Guardian,PS4,2016.0,Action-Adventure,Sony Interactive Entertainment  ,0.4,0.58,0.13,0.19,7.9,
2901,Deal or No Deal,Wii,2009.0,Misc,Zoo Games  ,1.2,,,0.09,,
2902,Mega Man Battle Network 3 Blue / White Version,GBA,2003.0,Role-Playing,Capcom  ,0.39,0.02,0.85,0.03,,
2903,Watch Dogs,X360,2014.0,Action-Adventure,Ubisoft  ,0.73,0.44,0.01,0.11,,
2904,Dark Souls II,PS3,2015.0,Role-Playing,Namco Bandai Games  ,0.38,0.35,0.41,0.15,,
2905,Pirates of the Caribbean: The Curse of the Black Pearl,GBA,2003.0,Platform,TDK Mediactive  ,0.93,0.34,,0.02,,
2906,WWE 2K16,PS4,2015.0,Sports,Take-Two Interactive  ,0.43,0.65,,0.21,,
2907,Transformers,PS2,2004.0,Shooter,Atari  ,0.63,0.49,,0.16,7.8,
2908,BioShock,PC,2007.0,Shooter,2K Games  ,0.01,0.39,,0.01,9.6,
2909,EA Playground,Wii,2007.0,Sports,Electronic Arts  ,0.68,0.47,,0.13,,
2910,LEGO Battles,DS,2009.0,Strategy,Warner Bros. Interactive  ,0.79,0.38,,0.12,,
2911,Gold's Gym: Cardio Workout,Wii,2009.0,Sports,Ubisoft  ,1.1,0.04,0.06,0.09,,
2912,Midnight Club 3: DUB Edition (America weekly sales),PS2,2005.0,Racing,Rockstar Games  ,1.22,0.05,,0.01,,
2913,Borderlands: The Handsome Collection,PS4,2015.0,Shooter,2K Games  ,0.69,0.34,0.03,0.22,,
2914,Champions of Norrath,PS2,2004.0,Role-Playing,Sony Online Entertainment  ,0.63,0.49,,0.16,8.5,
2915,Project CARS,PS4,2015.0,Racing,Bandai Namco Games  ,0.29,0.76,0.04,0.19,,
2916,Yakuman,GB,1989.0,Misc,Nintendo  ,,,1.28,0.0,,
2917,Imagine: Wedding Designer,DS,2008.0,Simulation,Ubisoft  ,0.55,0.59,,0.14,,
