Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Critic_Score,User_Score
359,Super Mario 64,N64,1996.0,Platform,Nintendo  ,6.91,2.85,1.91,0.23,9.7,9.2
361,FIFA 18,PS4,2017.0,Sports,EA Sports  ,1.27,8.64,0.15,1.73,8.3,
362,Gran Turismo 4,PS2,2005.0,Racing,Sony Computer Entertainment  ,3.01,0.01,1.1,7.53,8.7,
363,Animal Crossing: Wild World,DS,2005.0,Simulation,Nintendo  ,2.5,3.46,5.33,0.86,8.5,
370,Super Mario Land 2: 6 Golden Coins,GB,1992.0,Platform,Nintendo  ,6.16,2.04,2.69,0.29,9.0,
372,Grand Theft Auto IV,X360,2008.0,Action,Rockstar Games  ,6.8,3.11,0.14,1.04,10.0,
373,Super Mario 64 DS,DS,2004.0,Platform,Nintendo  ,0.01,0.0,1.25,,8.6,
387,StarCraft,PC,1998.0,Strategy,Blizzard Entertainment  ,0.0,0.04,,0.01,8.7,
389,FIFA 17,PS4,2016.0,Sports,Electronic Arts  ,1.26,7.95,0.12,1.61,8.9,
391,Gran Turismo,PS,1998.0,Racing,Sony Computer Entertainment  ,4.02,3.87,2.54,0.52,9.5,
392,Call of Duty: Modern Warfare 2,PS3,2009.0,Shooter,Activision  ,4.99,3.66,0.38,1.59,9.5,
393,Grand Theft Auto IV,PS3,2008.0,Action,Rockstar Games  ,4.79,3.73,0.44,1.62,10.0,9.0
394,Super Mario All-Stars,SNES,1993.0,Platform,Nintendo  ,5.99,2.15,2.12,0.29,,9.5
399,Call of Duty: Ghosts,X360,2013.0,Shooter,Activision  ,6.76,2.64,0.04,0.98,6.9,
403,Call of Duty: Ghosts,PS3,2013.0,Shooter,Activision  ,4.11,4.01,0.39,1.62,7.5,
420,Just Dance 2,Wii,2010.0,Misc,Ubisoft  ,5.8,2.86,0.01,0.77,7.3,
421,Just Dance 3,Wii,2011.0,Misc,Ubisoft  ,5.95,3.13,,1.06,7.5,
429,RollerCoaster Tycoon 3,PC,2004.0,Strategy,Atari  ,0.01,0.22,,0.02,8.3,
444,Uncharted: The Nathan Drake Collection,PS4,2015.0,Action,Sony Computer Entertainment  ,2.55,2.11,0.1,0.94,,
445,Halo: Reach,X360,2010.0,Shooter,Microsoft Game Studios  ,7.08,2.01,0.08,0.8,9.3,
446,Portal,PC,2008.0,Shooter,Valve Corporation  ,,0.0,,0.0,9.0,
447,Halo 4,X360,2012.0,Shooter,Microsoft Studios  ,6.72,2.36,0.04,0.83,,
449,Final Fantasy VII,PS,1997.0,Role-Playing,Sony Computer Entertainment  ,3.01,2.47,3.28,0.96,9.6,9.5
451,Mario Kart 64,N64,1997.0,Racing,Nintendo  ,5.55,1.94,2.23,0.15,8.5,
456,Super Smash Bros. for 3DS,3DS,2014.0,Fighting,Nintendo  ,3.73,1.5,2.55,0.54,8.4,
459,Call of Duty 4: Modern Warfare,X360,2007.0,Shooter,Activision  ,5.98,2.39,0.13,0.91,9.6,9.0
461,Gran Turismo 2,PS,1999.0,Racing,Sony Computer Entertainment  ,3.88,3.42,1.69,0.5,9.2,
464,Wii Party,Wii,2010.0,Misc,Nintendo  ,1.75,3.51,2.49,0.66,7.0,
465,Call of Duty: Black Ops IIII,PS4,2018.0,Shooter,Activision  ,4.05,3.28,0.5,1.49,,
466,Mario Party DS,DS,2007.0,Misc,Nintendo  ,4.4,1.86,1.98,0.69,7.1,
467,Donkey Kong Country,SNES,1994.0,Platform,Nintendo  ,4.36,1.71,3.0,0.23,9.0,
468,Half-Life,PC,1998.0,Shooter,Sierra Entertainment  ,4.03,0.0,0.09,,9.5,
469,Uncharted 3: Drake's Deception,PS3,2011.0,Action,Sony Computer Entertainment  ,2.77,2.81,0.19,1.06,9.3,6.3
470,Pokémon: Ultra Sun and Ultra Moon,3DS,2017.0,Role-Playing,Nintendo  ,2.46,1.74,2.55,0.4,8.1,
471,FIFA 19,PS4,2018.0,Sports,Electronic Arts  ,0.84,6.87,0.1,1.34,,
488,The Elder Scrolls V: Skyrim,X360,2011.0,Role-Playing,Bethesda Softworks  ,5.1,2.83,0.1,0.85,9.3,
489,Mario Party 8,Wii,2007.0,Misc,Nintendo  ,3.74,2.27,1.58,0.7,6.5,
490,Super Mario Kart,SNES,1992.0,Racing,Nintendo  ,3.54,1.24,3.81,0.18,10.0,
491,Grand Theft Auto V,XOne,2014.0,Action,Rockstar Games  ,4.7,3.25,0.01,0.76,9.0,9.0
493,Final Fantasy VIII,PS,1999.0,Role-Playing,Square EA  ,2.28,1.72,3.63,0.23,9.4,
494,Final Fantasy X,PS2,2001.0,Role-Playing,Square  ,2.91,2.07,2.73,0.33,9.0,10.0
500,Call of Duty: Infinite Warfare,PS4,2016.0,Shooter,Activision  ,3.11,3.83,0.19,1.36,7.9,
501,Fallout 4,PS4,2015.0,Role-Playing,Bethesda Softworks  ,2.91,3.97,0.27,1.34,8.6,
502,Mario Kart 8,WiiU,2014.0,Racing,Nintendo  ,3.22,2.55,1.39,0.54,8.8,
505,Tekken 3,PS,1998.0,Fighting,Namco  ,3.27,2.22,1.4,0.29,9.6,
507,FIFA 16,PS4,2015.0,Sports,EA Sports  ,1.15,5.77,0.07,1.23,8.5,
509,The Last of Us,PS3,2013.0,Action-Adventure,Sony Computer Entertainment America  ,2.41,2.57,0.29,0.99,9.5,
511,GoldenEye 007,N64,1997.0,Shooter,Nintendo  ,5.8,2.01,0.13,0.15,9.8,
512,Star Wars Battlefront (2015),PS4,2015.0,Shooter,Electronic Arts  ,3.31,3.19,0.23,1.3,7.1,
513,FIFA 13,PS3,2012.0,Sports,EA Sports  ,1.07,5.13,0.13,1.68,,
520,Halo 2,XB,2004.0,Shooter,Microsoft Game Studios  ,6.82,1.53,0.05,0.08,9.6,
521,Harry Potter and the Sorcerer's Stone,PS,2001.0,Action,Electronic Arts  ,1.37,2.0,0.14,0.22,8.0,
528,Sid Meier's Civilization V,PC,2010.0,Strategy,2K Games  ,1.0,0.53,,0.17,8.9,
530,The Sims 3,PC,2009.0,Simulation,Electronic Arts  ,1.01,6.46,,0.5,8.5,
532,Grand Theft Auto: Liberty City Stories,PSP,2005.0,Action,Rockstar Games  ,2.9,2.83,0.24,1.74,8.8,
537,Pac-Man,2600,1982.0,Puzzle,Atari  ,7.28,0.45,,0.08,,
540,Bloodborne,PS4,2015.0,Role-Playing,Sony Computer Entertainment  ,1.3,1.05,0.28,0.48,8.2,
541,God of War III,PS3,2010.0,Action,Sony Computer Entertainment  ,2.74,1.36,0.12,0.6,9.2,9.4
542,Pokémon Platinum Version,DS,2009.0,Role-Playing,Nintendo  ,2.76,1.73,2.69,0.54,8.3,8.9
543,The Legend of Zelda: Ocarina of Time,N64,1998.0,Adventure,Nintendo  ,4.1,1.89,1.45,0.16,9.9,10.0
545,Call of Duty: Advanced Warfare,PS4,2014.0,Shooter,Activision  ,2.84,3.34,0.14,1.22,8.5,
549,The Legend of Zelda: Twilight Princess,Wii,2006.0,Adventure,Nintendo  ,3.74,2.16,0.6,0.69,9.5,9.6
550,Call of Duty: World at War,X360,2008.0,Shooter,Activision  ,4.88,1.91,,0.71,8.5,7.8
552,Super Mario Bros. 2,NES,1988.0,Platform,Nintendo  ,5.39,1.18,0.7,0.19,,
553,Super Mario Galaxy 2,Wii,2010.0,Platform,Nintendo  ,3.59,2.37,0.98,0.62,9.7,9.8
554,Super Smash Bros. Melee,GC,2001.0,Fighting,Nintendo  ,4.41,1.04,1.39,0.22,9.2,
558,Call of Duty: Black Ops 3,XOne,2015.0,Shooter,Activision  ,4.63,2.04,0.02,0.68,,
559,Battlefield 3,X360,2011.0,Shooter,Electronic Arts  ,4.47,2.12,0.06,0.69,8.5,
563,Yokai Watch 2: Bony Spirits / Fleshy Souls / Psychic Specters,3DS,2016.0,Role-Playing,Nintendo  ,0.22,0.2,3.19,0.04,,
566,Battlefield 1,PS4,2016.0,Shooter,Electronic Arts  ,2.2,3.65,0.29,1.12,9.1,
568,Battlefield 3,PS3,2011.0,Shooter,Electronic Arts  ,2.86,2.94,0.35,1.07,8.5,
571,Need for Speed Underground,PS2,2003.0,Racing,Electronic Arts  ,3.27,2.83,0.08,1.02,8.6,
575,The Binding of Isaac,PC,2011.0,Action,Edmund McMillen  ,,0.0,,0.0,8.3,
577,Pokémon Emerald Version,GBA,2005.0,Role-Playing,Nintendo  ,2.57,1.58,2.06,0.21,7.7,
578,Ratchet & Clank (2016),PS4,2016.0,Platform,Sony Interactive Entertainment  ,0.97,0.97,0.06,0.39,,
