Rank,Name,Critic_Score,User_Score
742,inFAMOUS: Second Son,,
743,Assassin's Creed II,9.1,
747,Donkey Kong 64,9.3,
750,Tomb Raider II,7.6,
751,Madden NFL 2004,9.5,
754,Call of Duty: Advanced Warfare,8.3,
755,Fallout: New Vegas,8.3,
756,Gran Turismo 6,8.6,
757,Nintendo Land,7.5,
758,Kingdom Hearts II,8.3,
759,Super Mario Land 3: Wario Land,7.9,
760,Donkey Kong Country 2: Diddy's Kong Quest,9.3,
762,Medal of Honor: Rising Sun,5.9,
763,Battlefield 1,9.3,
764,Kirby's Dream Land,,
766,Microsoft Flight Simulator,7.0,
767,Guitar Hero II,9.2,
768,FIFA 13,,
769,Resident Evil 5,8.6,8.8
770,Fable III,7.8,
773,Mario & Sonic at the Olympic Games,7.0,
776,Grand Theft Auto: Vice City Stories,8.4,
777,FIFA Soccer 11,8.7,
778,Super Mario Bros. Deluxe,9.7,
779,Final Fantasy XV,8.1,9.0
781,Fallout 4,8.4,
782,Tony Hawk's Pro Skater,9.6,
783,Warzone 2100,,
789,Cities: Skylines,,
803,Gears of War,9.4,9.4
804,Gears of War 2,9.4,9.5
807,Halo 5: Guardians,8.6,
808,Halo: Combat Evolved,9.5,
822,SimCity 3000,8.5,
832,Guitar Hero III: Legends of Rock,8.2,
833,Uncharted: Drake's Fortune,8.7,8.6
834,Driveclub,7.2,
836,Resident Evil 2,9.3,
837,Fallout 3,9.0,8.6
839,Splatoon,8.4,
840,Madden NFL 06,9.1,
841,Dragon Quest VIII: Journey of the Cursed King,8.6,
842,Monster Hunter Freedom 3,,
843,Diddy Kong Racing,8.3,
844,Pokémon Mystery Dungeon: Explorers of Time / Darkness,6.4,
846,Call of Duty: Black Ops IIII,,
847,Dr. Mario,,
848,Spyro the Dragon,8.7,
849,Crash Bandicoot N. Sane Trilogy,,
850,Assassin's Creed,8.2,8.5
852,Call of Duty: Infinite Warfare,,
853,Crash Team Racing,9.2,
854,LEGO Star Wars: The Complete Saga,7.8,
855,The Legend of Zelda: Phantom Hourglass,9.1,
856,Batman: Arkham City,9.5,
858,Driver 2,7.0,
859,The Simpsons: Hit & Run,7.7,
861,The Witcher 3: Wild Hunt,,
862,World of Warcraft: Cataclysm,9.0,
863,Nintendogs + cats,7.2,
864,Tony Hawk's Pro Skater 2,9.3,
865,Gran Turismo,7.7,9.5
866,The Lord of the Rings: The Two Towers,8.3,
868,Tomb Raider,8.9,
869,Donkey Kong Country: Tropical Freeze,9.1,9.1
870,God of War,9.3,
871,The Legend of Zelda: A Link to the Past,10.0,
872,Left 4 Dead,8.6,8.5
873,Forza Motorsport 4,9.1,
876,Guitar Hero III: Legends of Rock,8.6,
878,BioShock Infinite,,
879,Mario & Luigi: Bowser's Inside Story,9.1,
880,FIFA 15,6.9,
881,Mario & Sonic at the Olympic Winter Games,6.8,
882,Overwatch,8.8,
883,Madden NFL 2005,9.5,
884,Guitar Hero III: Legends of Rock,8.7,
885,Star Wars Battlefront II (2017),,
886,Dead Island,7.1,
888,ARK: Survival Evolved,,
894,LittleBigPlanet,9.4,9.2
897,Mario Tennis Aces,7.8,
901,Riven: The Sequel to Myst,,
904,Warcraft III: Reign of Chaos,9.3,
906,Professor Layton and the Curious Village,8.7,
907,Spider-Man: The Movie,8.2,
908,Dragon Ball: Xenoverse 2,7.1,
909,The Elder Scrolls IV: Oblivion,9.2,
910,The Legend of Zelda: The Wind Waker,9.6,
911,Tony Hawk's Pro Skater 3,9.1,
914,Winning Eleven: Pro Evolution Soccer 2007,8.8,
916,Kirby Star Allies,8.1,10.0
917,Zelda II: The Adventure of Link,,
918,Michael Jackson: The Experience,5.6,
919,Tom Clancy's The Division,,
920,Need for Speed: Most Wanted,8.6,
921,Tom Clancy's Rainbow Six: Siege,,
922,Call of Duty: Advanced Warfare,9.1,
923,Watch Dogs,,
924,Animal Crossing: City Folk,7.1,8.8
925,Dragon Ball FighterZ,,
927,Asteroids,,
929,Dragon Quest VII,8.0,3.0
930,Monster Hunter Generations,8.8,
931,Naruto Shippuden: Ultimate Ninja Storm 4,,
932,Batman: Arkham Asylum,9.0,
933,Call of Duty: Advanced Warfare,9.1,
934,God of War II,9.3,9.8
935,The Legend of Zelda: A Link Between Worlds,9.3,
936,Namco Museum,,
937,Super Paper Mario,8.5,
938,Assassin's Creed: Revelations,8.8,
939,Assassin's Creed: Revelations,7.9,
940,FIFA Soccer 06,8.4,
942,Monster Hunter 4 Ultimate,8.8,
944,Street Fighter IV,9.3,9.0
946,FIFA Soccer 12,9.2,
947,Call of Duty: Ghosts,7.5,
948,Teenage Mutant Ninja Turtles,5.9,
949,Just Cause 2,8.2,
950,Excitebike,,
952,Frogger,,
953,Star Wars Battlefront (2015),6.9,
954,FIFA 14,,
956,Madden NFL 2003,9.4,
957,Assassin's Creed: Unity,,
958,Destiny 2,,
961,Super Mario World 2: Yoshi's Island,9.0,
962,Batman: Arkham Knight,8.1,
963,FIFA 07 Soccer,8.4,
964,The Sims 4,7.0,
965,Monster Hunter 4,,
969,Street Fighter II Turbo,9.0,
970,Crash Bandicoot 2: Cortex Strikes Back,8.6,
971,Fallout: New Vegas,8.2,
973,Assassin's Creed Origins,,
974,Far Cry 4,8.4,
975,Carnival Games,4.2,
976,World Soccer Winning Eleven 9,8.9,
977,Forza Motorsport 2,9.1,
978,Namco Museum Vol.3,,
979,Tekken Tag Tournament,8.7,
980,Until Dawn,,
981,Super Mario Maker,8.8,
982,Golf,,
989,Diablo II,8.8,
992,EyeToy Play,7.5,
994,Frogger,,
1004,Metal Gear Solid 3: Snake Eater,9.0,
1006,Monster Hunter: World,9.3,9.0
1013,Pitfall!,,
1021,Star Fox 64,9.0,
1031,"Warhammer 40,000: Dawn of War",8.8,
1032,Who Wants to be a Millionaire,,
1033,World of Warcraft: Wrath of the Lich King,9.3,9.3
1036,Zoo Tycoon,7.1,
1037,Fallout 3,8.8,
1039,The Elder Scrolls V: Skyrim,9.2,
1040,Namco Museum: 50th Anniversary,,
1041,NBA 2K16,8.7,
1043,Far Cry 5,7.9,
1044,Battlefield 4,8.3,
1045,Assassin's Creed IV: Black Flag,8.7,
1046,Half-Life 2: Episode One,8.7,
1047,Dark Souls III,,
1048,Donkey Kong Land,,
1049,English Training: Have Fun Improving Your Skills!,,
1050,Dragon Quest III,,8.0
1051,Tony Hawk's Underground,8.7,
1052,Resistance: Fall of Man,8.5,9.1
1053,Just Dance 2014,7.4,
1054,Professor Layton and the Diabolical Box,8.5,
1055,Sports Champions,7.6,
1057,World Soccer Winning Eleven 8 International,9.3,
1059,Namco Museum Vol.1,,
1061,The Legend of Zelda: Link's Awakening,,
1062,Resident Evil VII: Biohazard,8.6,
1065,Monster Hunter Freedom Unite,7.7,9.7
1066,Super Mario Maker,7.3,
1067,LEGO Indiana Jones: The Original Adventures,7.5,
1068,The Sims: Unleashed,7.3,
1069,Tomodachi Collection,,
1070,Ratchet & Clank: Size Matters,8.5,
1071,1-2-Switch,5.7,
1073,Pokémon Trading Card Game,8.3,
1074,Ratchet & Clank,,
1075,FIFA 17,8.8,
1077,FIFA Soccer 2005,8.4,
1080,The Legend of Zelda: Skyward Sword,9.4,
1081,Tony Hawk's Pro Skater 4,9.6,
1083,Midnight Club 3: DUB Edition,7.2,
1084,MySims,6.7,
1085,Banjo-Kazooie,9.3,9.4
1086,SOCOM: U.S. Navy SEALs,8.0,
1088,Battlefield 4,8.7,
1089,Jak and Daxter: The Precursor Legacy,9.0,8.9
1090,Pokémon Snap,7.9,
1091,Pro Evolution Soccer 2008,8.2,
1092,FIFA Soccer 10,9.0,
1093,Guitar Hero: World Tour,8.4,
1094,Star Wars Battlefront,8.1,
1095,Doom II,9.3,
1096,The Simpsons: Road Rage,6.1,
1102,Assassin's Creed Syndicate,8.6,
1103,Star Wars Battlefront II,8.5,
1104,Assassin's Creed: Unity,,
1105,Cooking Mama 2: Dinner With Friends,6.9,
1107,WWF SmackDown!,,
1108,Battlefield 4,8.7,
1109,Grand Theft Auto: Liberty City Stories,8.3,
1110,The Getaway,7.7,
1111,Tomb Raider III: Adventures of Lara Croft,8.2,
1112,Batman: Arkham Asylum,9.1,
1113,Assassin's Creed: Brotherhood,9.1,
1114,James Bond 007: Agent Under Fire,,
1115,LEGO Star Wars: The Video Game,7.9,
1116,Resident Evil 5,8.6,
1117,Rugrats in Paris: The Movie,,
1118,NBA 2K17,9.0,
1119,FIFA Soccer 11,8.7,
1120,Animal Crossing: Happy Home Designer,6.6,
1121,Donkey Kong Country 3: Dixie Kong's Double Trouble!,8.8,
1132,Fable II,9.0,9.3
1134,Kung Fu,,
1140,Resident Evil 3: Nemesis,9.4,
1143,World of Warcraft: The Burning Crusade,9.2,
1148,FIFA Soccer 2004,8.0,
1149,Pokémon Mystery Dungeon: Blue Rescue Team,6.3,
1150,Mortal Kombat X,,
1151,Battlefield: Bad Company 2,9.0,9.3
1154,Borderlands,8.3,
1156,Mario & Sonic at the Olympic Winter Games,7.6,
1157,Dying Light,,
1158,Guitar Hero: On Tour,7.1,8.1
1159,Dragon Ball Z: Budokai,,
1160,The Legend of Zelda: Majora's Mask 3D,9.0,
1161,Spyro 2: Ripto's Rage!,8.7,
1162,Halo: The Master Chief Collection,8.8,
1164,LEGO Batman: The Videogame,7.5,
1165,Tekken 4,7.9,
1166,FIFA 14,,
1167,LittleBigPlanet 2,9.1,
1168,Grand Theft Auto 2,6.9,
1169,Destiny,8.3,
1170,Spider-Man 2,7.9,
1171,F-1 Race,,
1172,Dead Rising 3,,
1178,World of Warcraft: Battle for Azeroth,,
1179,FIFA Soccer 2003,,
1181,Crash Bash,6.8,
1183,Gears of War 4,,
1185,Tekken: Dark Resurrection,8.7,
1186,The Elder Scrolls V: Skyrim Special Edition,8.3,
1187,Watch Dogs 2,,
1188,The Legend of Zelda: Majora's Mask,9.3,
1189,WWF War Zone,,
1190,Yoshi's Island DS,8.2,
1193,Assassin's Creed IV: Black Flag,8.5,
1194,NBA 2K18,8.1,
1195,Big Brain Academy: Wii Degree,7.1,
1197,Luigi's Mansion,7.9,
1198,James Bond 007: Nightfire,,
1199,Star Wars Episode III: Revenge of the Sith,,
1200,Max Payne,8.1,
1202,Madden NFL 16,8.2,
1209,World of Warcraft: Legion,,
1210,World of Warcraft: Warlords of Draenor,,
1211,Dark Souls III,,
1212,Dark Souls: Prepare to Die Edition,,
1213,The Lord of the Rings: The Return of the King,8.4,
1214,Spyro: Year of the Dragon,9.1,
1217,Madden NFL 17,8.5,
1218,True Crime: Streets of LA,,
1219,Far Cry 3,,
1220,God of War: Chains of Olympus,8.9,9.5
1221,FIFA 16,8.5,
1222,Flash Focus: Vision Training in Minutes a Day,6.1,
1225,Ratchet & Clank: Up Your Arsenal,9.1,
1226,007: Tomorrow Never Dies,6.2,
1227,L.A. Noire,9.1,
1229,Baseball,,
1232,Dragon Quest IV,,
1233,Dragon Quest VI: Maboroshi no Daichi,,
1235,Killer Instinct,,
1237,Perfect Dark,9.7,
1239,WWF SmackDown! 2: Know Your Role,8.7,
1240,Assassin's Creed IV: Black Flag,8.3,
1243,Personal Trainer: Cooking,8.4,
1245,Enter the Matrix,,
1246,Assassin's Creed Odyssey,9.5,
1247,Fallout: New Vegas,8.2,
1248,Sonic Heroes,6.6,
1249,Club Penguin: Elite Penguin Force,7.0,
1250,FIFA Soccer 08,,
1251,FIFA 18,8.0,
1253,Spider-Man,,
